,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
Ablated PINN,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,6.404319312423469e-05,2.2583988614394162e-05,0.3799826299399137,0.018032126390564087,0.38004667313303797,0.018029842928680057,1.2558974300001864,0.0,3.32306430715303,0.14848102746235425,1.91946452288699e-07,5.7666431562472975e-11
