,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
Ablated PINN,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,6.786698009818793e-05,1.4982580951541453e-05,0.5278678376739845,0.05557676476496174,0.5279357046540827,0.055564425691360116,1.3221112799990806,0.0,2.5403807214346954,0.27175076413210286,1.8947788359888342e-07,3.406679364851973e-12
