,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
Ablated PINN,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,6.855200044810771e-05,2.459630398423668e-05,0.384894808055833,0.011775199952242407,0.38496336005628107,0.01176215431138492,1.2234286700004304,0.0,3.1896700787793044,0.08955919834983195,2.1496962039635099e-07,1.6056571959917805e-12
