Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
Ablated PINN,1,10,1.0,0.00010381247848272324,0.7992838319391012,0.7993876444175839,0.5085756344953551,0.6387406490025955,3.691050811332156e-10
Ablated PINN,2,10,1.0,6.660828366875649e-05,0.9501690771430731,0.9502356854267419,0.5085756344953551,0.548028279286108,3.8325567647957196e-10
Ablated PINN,3,10,1.0,6.795218214392663e-05,0.9825975961983204,0.9826655483804643,0.5085756344953551,0.5398093309994619,3.619526506950481e-10
Ablated PINN,4,10,1.0,6.52511604130268e-05,1.073269304074347,1.07333455523476,0.5085756344953551,0.48575985569270524,1.3953190554991126e-11
Ablated PINN,5,10,1.0,7.350621744990349e-05,0.7382343703880906,0.7383078766055405,0.5085756344953551,0.6930049232164082,3.736696287722665e-10
