,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,9.0,0.0,1.0,0.0,9.527915778259436e-05,8.31471703694675e-06,0.8597014384602921,0.021260603313763286,0.8597967176180747,0.021257279133048496,0.8149322471063998,0.0,0.9516237921725075,0.026114365418394406,-1.991077014414147e-12,2.418686539180915e-12
FSNet,3.0,1.5811388300841898,9.0,0.0,1.0,0.0,9.049066445893711e-05,3.3837565622494528e-06,0.7831865427601669,0.09464648641688192,0.7832770334246258,0.09464435161730668,0.8149322471063998,0.0,1.0608325882711722,0.11174488414194278,-2.052602773974786e-12,2.148046701940441e-12
KKT,3.0,1.5811388300841898,9.0,0.0,1.0,0.0,0.00019258320228093202,2.8762940487083164e-05,0.7788912642591944,0.0705661948343434,0.7790838474614753,0.07059205915933096,0.8149322471063998,0.0,1.061623432304584,0.09104037151948899,-2.87414327869454e-12,2.7679013414491185e-12
PINN Baseline,3.0,1.5811388300841898,9.0,0.0,1.0,0.0,0.00010826675635245111,3.987777807974299e-05,0.8138864492945788,0.04802849569829572,0.8139947160509312,0.048031138743494975,0.8149322471063998,0.0,1.0073090513672334,0.06483341765973462,-1.801137279320529e-12,2.0344476204729103e-12
Rahul's Model,3.0,1.5811388300841898,9.0,0.0,1.0,0.0,0.0002026650123298168,3.301501992919491e-05,0.8366713574104425,0.12081942006387165,0.8368740224227723,0.12083585558044668,0.8149322471063998,0.0,1.0001357447081944,0.14309382193669803,-1.892245831437119e-12,2.3033671733815574e-12
