,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,9.199025225825608e-05,7.300417506408109e-06,0.5183916404261254,0.018429312010121726,0.5184836306783837,0.018429352897620047,0.5044602076231968,0.0,0.9753795377886,0.033367285114293085,-1.3945620126921935e-11,3.1578349116449914e-12
FSNet,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,9.1863505076617e-05,1.22435589219079e-05,0.5093258573964704,0.0054223365204998574,0.509417720901547,0.005428345637489488,0.5044602076231968,0.0,0.9908307099053433,0.01029089025205518,-1.3769043897205899e-11,3.2153938737930553e-12
KKT,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00020445732516236604,4.3449855496272723e-05,0.5007694791827817,0.0057648315387920064,0.500973936507944,0.0057562996536624335,0.5044602076231968,0.0,1.0072354643635077,0.011476813301152557,-1.1138362372062616e-11,8.876036441958765e-12
PINN Baseline,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00010936132748611272,4.9793185716681904e-05,0.5085671356122475,0.0102679901769016,0.5086764969397336,0.010251965727430652,0.5044602076231968,0.0,0.9925225610490822,0.018780731773038198,-1.841922642777482e-11,2.8384244360956477e-12
Rahul's Model,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.0002059238206129521,2.2478248277017825e-05,0.5192039884626866,0.012362911567377314,0.5194099122832995,0.012360215337354147,0.5044602076231968,0.0,0.9722908984604913,0.02264730633453384,-2.447075105716428e-12,6.604314063112195e-12
