Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
PINN Baseline,1,350,True,optimal,0.00014091739431023597,0.7833990140352398,0.78353993142955,0.7511738431639969,572523.8243423189,0.9586924839854659,572523.8243423001,-3.294060672082573e-12
PINN Baseline,1,351,True,optimal,0.00014091739431023597,0.7971835830248892,0.7973245004191994,0.7911143160890788,563799.8589656716,0.9922112209936411,563799.858965675,5.988019115816538e-13
PINN Baseline,1,352,True,optimal,0.00014091739431023597,0.7826293918769807,0.7827703092712909,0.7975017440039665,569207.4050587945,1.0188196135675989,569207.4050586201,-3.063736531655544e-11
PINN Baseline,1,353,True,optimal,0.00014091739431023597,0.7435336310882121,0.7436745484825223,0.7055969838984311,568289.051821158,0.9487980802062017,568289.0518211692,1.966582122173773e-12
PINN Baseline,1,354,True,optimal,0.00014091739431023597,0.8576100240461528,0.857750941440463,0.7122202729806304,571270.2959107166,0.8303345861498725,571270.2959107211,7.743763785882038e-13
PINN Baseline,1,355,True,optimal,0.00014091739431023597,0.8073721721302718,0.807513089524582,0.6660806031432003,565898.402389476,0.824854249155702,565898.4023894934,3.0857656074494282e-12
PINN Baseline,1,356,True,optimal,0.00014091739431023597,0.7491524878423661,0.7492934052366763,0.5670166818890721,564587.3625056958,0.7567351826751642,564587.362505671,-4.391962200338297e-12
PINN Baseline,1,357,True,optimal,0.00014091739431023597,0.806574990041554,0.8067159074358642,0.6574332180898637,557645.9133125701,0.8149501107267196,557645.913312571,1.670096655211129e-13
PINN Baseline,1,358,True,optimal,0.00014091739431023597,0.7399028509389609,0.7400437683332711,0.6872381418943405,564139.1907976866,0.9286452657281885,564139.1907976854,-2.0635921723914418e-13
PINN Baseline,1,359,True,optimal,0.00014091739431023597,0.7193040230777115,0.7194449404720217,0.7577192720491439,580935.749507543,1.053199806439685,580935.7495069108,-1.0883331132195603e-10
PINN Baseline,2,350,True,optimal,8.131919894367456e-05,0.6766395529266447,0.6767208721255884,0.7511738431639969,572523.8243423189,1.1100202078953925,572523.8243423209,3.4567303349014653e-13
PINN Baseline,2,351,True,optimal,8.131919894367456e-05,0.7300147330388427,0.7300960522377864,0.7911143160890788,563799.8589656716,1.0835756660569085,563799.8589656788,1.2801971902780184e-12
PINN Baseline,2,352,True,optimal,8.131919894367456e-05,0.754240072099492,0.7543213912984357,0.7975017440039665,569207.4050587945,1.0572439721366023,569207.405058809,2.536070293226218e-12
PINN Baseline,2,353,True,optimal,8.131919894367456e-05,0.6485068830661476,0.6485882022650913,0.7055969838984311,568289.051821158,1.0878967292871589,568289.0518211545,-6.145569131793041e-13
PINN Baseline,2,354,True,optimal,8.131919894367456e-05,0.6715537880081683,0.6716351072071121,0.7122202729806304,571270.2959107166,1.0604274037167076,571270.2959107098,-1.202321219386948e-12
