Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
Ablated PINN,1,840,True,optimal,0.00013166883339484534,0.7219110811129212,0.7220427499463161,0.5063995488453656,556180.0453287093,0.7013428898538437,556180.0453287046,-8.372491807621894e-13
Ablated PINN,1,841,True,optimal,0.00013166883339484534,0.8172745881602168,0.8174062569936117,0.5798787558451295,568125.0399577962,0.7094131600826019,568125.0399578036,1.2909420918398034e-12
Ablated PINN,1,842,True,optimal,0.00013166883339484534,0.7951997267082334,0.7953313955416282,0.5196123339701444,564966.4507716926,0.6533280804491358,564966.4507716885,-7.211996851100228e-13
Ablated PINN,1,843,True,optimal,0.00013166883339484534,0.7694214079529047,0.7695530767862996,0.505472696153447,557572.5284836718,0.6568392894539928,557572.528483664,-1.3988900392234883e-12
Ablated PINN,1,844,True,optimal,0.00013166883339484534,0.8699180735275149,0.8700497423609098,0.5543933480512351,572780.3717440057,0.6371973015552763,572780.3717448055,1.3963000486833845e-10
Ablated PINN,1,845,True,optimal,0.00013166883339484534,0.7705229837447405,0.7706546525781354,0.506523089017719,566342.8858802508,0.657263389409517,566342.8858801794,-1.2621153965877079e-11
Ablated PINN,1,846,True,optimal,0.00013166883339484534,0.7578128194436431,0.757944488277038,0.5060961279086769,565469.0581340825,0.6677218922181707,565469.058134107,4.343939345954237e-12
Ablated PINN,1,847,True,optimal,0.00013166883339484534,0.674419330433011,0.6745509992664059,0.5024231381248683,566448.4574596768,0.7448260230453564,566448.4574596756,-2.0551794306055103e-13
Ablated PINN,1,848,True,optimal,0.00013166883339484534,0.6935329549014568,0.6936646237348517,0.4999706619419157,578830.8380791448,0.7207671327535161,578830.8380764609,-4.636856000324224e-10
Ablated PINN,2,840,True,optimal,7.651156435410182e-05,0.7557154772803187,0.7557919888446728,0.5063995488453656,556180.0453287093,0.6700250284730641,556180.0453287124,5.651431970144779e-13
Ablated PINN,2,841,True,optimal,7.651156435410182e-05,0.9406588179990649,0.940735329563419,0.5798787558451295,568125.0399577962,0.616410097103765,568125.0399578046,1.475362390674061e-12
Ablated PINN,2,842,True,optimal,7.651156435410182e-05,0.8506955560296774,0.8507720675940315,0.5196123339701444,564966.4507716926,0.6107538714095292,564966.4507716652,-4.842340742881581e-12
Ablated PINN,2,843,True,optimal,7.651156435410182e-05,0.8666704464703798,0.8667469580347339,0.505472696153447,557572.5284836718,0.5831836979267376,557572.5284836807,1.5868006415072406e-12
Ablated PINN,2,844,True,optimal,7.651156435410182e-05,1.0574754448607564,1.0575519564251106,0.5543933480512351,572780.3717440057,0.5242232730818024,572780.3717440059,4.0649200835033023e-14
