Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
Ablated PINN,1,8,1.0,0.0003882773744408041,1.3203317462466657,1.3207200236211065,0.7319156928861048,0.5579789381209325,-6.649598458090401e-12
Ablated PINN,2,8,1.0,0.00019234686624258757,1.4050828065082897,1.4052751533745322,0.7319156928861048,0.5217870032749301,-5.681101925447183e-12
Ablated PINN,3,8,1.0,0.0001785642234608531,1.571462110383436,1.571640674606897,0.7319156928861048,0.4674215993674675,4.1552598546325904e-13
Ablated PINN,4,8,1.0,0.0002015231002587825,1.5835572671203408,1.5837587902205996,0.7319156928861048,0.4680602489525385,-1.927838490627184e-11
Ablated PINN,5,8,1.0,0.005569024739088491,1.4236060685070697,1.4291750932461582,0.7319156928861048,0.5109101629589237,5.451878775889682e-13
