Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,8,1.0,0.00011293310672044754,1.0202107460936531,1.0203236792003736,0.7968996200943366,0.8338490300211899,-5.614731950991908e-13
DC3,2,8,1.0,0.00014824944082647562,1.206520109786652,1.2066683592274785,0.7968996200943366,0.6936633426139894,-1.4535277904655498e-12
DC3,3,8,1.0,0.00011143065057694912,0.947277492727153,0.94738892337773,0.7968996200943366,0.8385813645521704,-5.236096119672882e-15
DC3,4,8,1.0,0.0001348244259133935,0.863308772793971,0.8634435972198844,0.7968996200943366,0.9238706522407685,-2.069639158105167e-13
DC3,5,8,1.0,0.00011292181443423033,0.9772006701678038,0.977313591982238,0.7968996200943366,0.8157347415021499,-1.3103682755090822e-12
FSNet,1,8,1.0,0.00012266682460904121,1.0159357994562015,1.0160584662808105,0.7968996200943366,0.7835837811848029,-1.1309236441298743e-12
FSNet,2,8,1.0,0.0001503170933574438,0.9754229295067489,0.9755732466001064,0.7968996200943366,0.8158069155042482,9.358679800225435e-13
FSNet,3,8,1.0,0.0001451732823625207,0.9854012241121382,0.9855463973945007,0.7968996200943366,0.8098219455355679,-6.945861936241827e-13
FSNet,4,8,1.0,0.0001157181104645133,0.9990532234078273,0.9991689415182918,0.7968996200943366,0.7949731470677734,-6.594962027129965e-13
FSNet,5,8,1.0,0.00010908814147114754,1.0474413655465469,1.047550453688018,0.7968996200943366,0.7595854529379784,1.663864271957387e-13
KKT,1,8,1.0,0.0003614781890064478,0.905396836111322,0.9057583143003285,0.7968996200943366,0.9206272777858892,-1.1697787948839196e-12
KKT,2,8,1.0,0.0002221086760982871,0.8399083389667794,0.8401304476428777,0.7968996200943366,0.9606956305047961,-2.2765493719087534e-12
KKT,3,8,1.0,0.00027117517311125994,1.0351652692770585,1.0354364444501698,0.7968996200943366,0.7794337194714106,-4.430700181914426e-13
KKT,4,8,1.0,0.00026126892771571875,1.021707595908083,1.0219688648357987,0.7968996200943366,0.7835297322714856,7.915865267499112e-13
KKT,5,8,1.0,0.00030226411763578653,1.1373018806334585,1.1376041447510943,0.7968996200943366,0.703162941254745,-1.869013417515581e-12
PINN Baseline,1,8,1.0,0.00027876649983227253,0.9007069009821862,0.9009856674820185,0.7968996200943366,0.8908641925483055,-2.576529065799172e-12
PINN Baseline,2,8,1.0,0.00011922197882086039,0.8549641956342384,0.8550834176130593,0.7968996200943366,0.9306310729627895,-2.270287531966682e-13
PINN Baseline,3,8,1.0,0.00011168431956321001,0.7747683894122019,0.7748800737317652,0.7968996200943366,1.0411423400454582,-1.6909937141699946e-12
PINN Baseline,4,8,1.0,0.00011007313150912523,0.6770092775113881,0.6771193506428972,0.7968996200943366,1.1755566198743737,-9.547703191820723e-14
PINN Baseline,5,8,1.0,0.00011651439126580954,0.7439452520338818,0.7440617664251477,0.7968996200943366,1.0749380321766622,-1.70116761111099e-12
Rahul's Model,1,8,1.0,0.0003670282894745469,1.2534602467203513,1.2538272750098258,0.7968996200943366,0.6341090841441976,1.5022519174357968e-13
Rahul's Model,2,8,1.0,0.00030985171906650066,1.0544679296435788,1.0547777813626453,0.7968996200943366,0.7945269746454677,4.68431543541512e-13
Rahul's Model,3,8,1.0,0.00020481389947235584,0.8325348981888965,0.8327397120883688,0.7968996200943366,0.9570849227364251,-1.5409806623069308e-12
Rahul's Model,4,8,1.0,0.00020841637160629034,0.8424286158988252,0.8426370322704315,0.7968996200943366,0.9465066067164434,2.3909990661197013e-13
Rahul's Model,5,8,1.0,0.00022995274048298597,0.8638886444969103,0.8641185972373933,0.7968996200943366,0.9214534305292984,6.281136720057168e-13
