Instance_ID,Cold_IPOPT_Status,Cold_IPOPT_Success,Cold_IPOPT_Time_s,Cold_IPOPT_Cost
30,optimal,True,1.4884243765845895,567042.0855339244
31,optimal,True,1.5469191567972302,569205.1627148619
32,optimal,True,1.5324742440134287,570496.9071589117
33,optimal,True,1.4517350289970636,559468.5267750787
34,optimal,True,1.58957495726645,569533.5043968589
35,optimal,True,1.188099630177021,571675.9538123179
36,maxIterations,False,25.509848518297076,
37,optimal,True,0.7810759348794818,562905.3503964001
38,optimal,True,0.7544522266834974,571801.1215788122
39,optimal,True,0.7465290622785687,573569.4768304036
