,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,8.121481630951166e-05,2.7624089773314447e-06,0.8420179169811309,0.03351464378200663,0.8420991317974403,0.0335148048364395,0.7407709560124204,0.0,0.8827509798302948,0.036216992206718826,-2.824708854761742e-11,5.1522846562518865e-11
FSNet,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,8.162181358784438e-05,3.525960304083573e-06,0.8242221866361797,0.04243649780488684,0.8243038084497675,0.04243660851103773,0.7407709560124204,0.0,0.9056834780709269,0.04966770305688535,-1.4182652082831478e-11,3.7008564364894347e-11
KKT,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,0.00016634423751384018,2.092622079222521e-05,0.8280145505582913,0.052807617857300315,0.8281808947958051,0.05281922519541713,0.7407709560124204,0.0,0.9038298218759506,0.060305863550174865,-2.0655228189462308e-11,4.618529117409994e-11
PINN Baseline,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,0.00010651652235537767,3.733460680630368e-05,0.9860465814778582,0.35338051920472613,0.9861530980002137,0.35335828234908767,0.7407709560124204,0.0,0.8720430607873055,0.11423513789966472,-5.09390303904881e-12,4.402209923448063e-11
Rahul's Model,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,0.0001590588316321373,1.1373850145073006e-05,0.8038575735036284,0.04643477308771104,0.8040166323352604,0.04643280836550867,0.7407709560124204,0.0,0.9270816157883722,0.04609597079622738,-5.043049217870499e-12,4.489752001099901e-11
