Job started on node: gpu0002
Using GPU: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch  390 | Cost: 1466.63 | Max P-Miss: 0.1595 | Max Q-Miss: 0.0512 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  400 | Cost: 1492.44 | Max P-Miss: 0.1617 | Max Q-Miss: 0.0299 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  410 | Cost: 1497.89 | Max P-Miss: 0.1692 | Max Q-Miss: 0.0330 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  420 | Cost: 1496.89 | Max P-Miss: 0.1533 | Max Q-Miss: 0.0298 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  430 | Cost: 1504.99 | Max P-Miss: 0.1660 | Max Q-Miss: 0.0394 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  440 | Cost: 1498.47 | Max P-Miss: 0.1618 | Max Q-Miss: 0.0382 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  450 | Cost: 1510.58 | Max P-Miss: 0.1334 | Max Q-Miss: 0.0827 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  460 | Cost: 1522.14 | Max P-Miss: 0.1242 | Max Q-Miss: 0.0833 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  470 | Cost: 1337.12 | Max P-Miss: 0.1537 | Max Q-Miss: 0.0615 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  480 | Cost: 1474.11 | Max P-Miss: 0.1290 | Max Q-Miss: 0.0699 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  490 | Cost: 1454.17 | Max P-Miss: 0.1842 | Max Q-Miss: 0.0401 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  500 | Cost: 1476.52 | Max P-Miss: 0.1838 | Max Q-Miss: 0.0375 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  510 | Cost: 1490.47 | Max P-Miss: 0.1677 | Max Q-Miss: 0.0427 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  520 | Cost: 1508.37 | Max P-Miss: 0.1597 | Max Q-Miss: 0.0550 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  530 | Cost: 1483.21 | Max P-Miss: 0.1538 | Max Q-Miss: 0.0669 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  540 | Cost: 1495.68 | Max P-Miss: 0.1519 | Max Q-Miss: 0.0635 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  550 | Cost: 1498.21 | Max P-Miss: 0.1393 | Max Q-Miss: 0.0595 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  560 | Cost: 1484.46 | Max P-Miss: 0.1642 | Max Q-Miss: 0.0736 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  570 | Cost: 1490.61 | Max P-Miss: 0.1261 | Max Q-Miss: 0.0641 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  580 | Cost: 1496.39 | Max P-Miss: 0.1384 | Max Q-Miss: 0.0627 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  590 | Cost: 1520.47 | Max P-Miss: 0.1096 | Max Q-Miss: 0.0692 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  600 | Cost: 1489.27 | Max P-Miss: 0.1763 | Max Q-Miss: 0.0576 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  610 | Cost: 1496.34 | Max P-Miss: 0.1971 | Max Q-Miss: 0.0699 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  620 | Cost: 1492.67 | Max P-Miss: 0.1538 | Max Q-Miss: 0.0539 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  630 | Cost: 1500.15 | Max P-Miss: 0.1666 | Max Q-Miss: 0.0633 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  640 | Cost: 1501.07 | Max P-Miss: 0.1579 | Max Q-Miss: 0.0586 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  650 | Cost: 1497.65 | Max P-Miss: 0.1476 | Max Q-Miss: 0.0527 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  660 | Cost: 1498.10 | Max P-Miss: 0.1445 | Max Q-Miss: 0.0541 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  670 | Cost: 1494.67 | Max P-Miss: 0.1562 | Max Q-Miss: 0.0501 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  680 | Cost: 1491.69 | Max P-Miss: 0.1361 | Max Q-Miss: 0.0468 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  690 | Cost: 1479.41 | Max P-Miss: 0.1419 | Max Q-Miss: 0.0603 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  700 | Cost: 1344.88 | Max P-Miss: 0.2103 | Max Q-Miss: 0.0649 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  710 | Cost: 1475.58 | Max P-Miss: 0.1559 | Max Q-Miss: 0.0982 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  720 | Cost: 1493.28 | Max P-Miss: 0.1368 | Max Q-Miss: 0.0981 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  730 | Cost: 1537.07 | Max P-Miss: 0.1172 | Max Q-Miss: 0.0784 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  740 | Cost: 1440.11 | Max P-Miss: 0.2035 | Max Q-Miss: 0.0713 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  750 | Cost: 1456.18 | Max P-Miss: 0.1493 | Max Q-Miss: 0.0549 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  760 | Cost: 1481.17 | Max P-Miss: 0.1364 | Max Q-Miss: 0.0456 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  770 | Cost: 1490.50 | Max P-Miss: 0.1305 | Max Q-Miss: 0.0477 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  780 | Cost: 1441.09 | Max P-Miss: 0.1548 | Max Q-Miss: 0.0848 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  790 | Cost: 1492.01 | Max P-Miss: 0.1513 | Max Q-Miss: 0.0460 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  800 | Cost: 1496.19 | Max P-Miss: 0.1591 | Max Q-Miss: 0.0481 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  810 | Cost: 1502.57 | Max P-Miss: 0.1604 | Max Q-Miss: 0.0434 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  820 | Cost: 1502.83 | Max P-Miss: 0.1404 | Max Q-Miss: 0.0454 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  830 | Cost: 1502.97 | Max P-Miss: 0.1351 | Max Q-Miss: 0.0429 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  840 | Cost: 1504.35 | Max P-Miss: 0.1403 | Max Q-Miss: 0.0389 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  850 | Cost: 1501.96 | Max P-Miss: 0.1498 | Max Q-Miss: 0.0412 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  860 | Cost: 1501.01 | Max P-Miss: 0.1412 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
