Job: acopf_ISS
Executing: ACOPF_pinn_rahul_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
Executing strictly on GPU: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch  270 | Val Loss: 124.8168 | Val Cost:    0.01 | Val Max P-Miss: 1.1077 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 188.7574 | Val Cost:    0.00 | Val Max P-Miss: 1.1076 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0030 | Val Max Thermal: 0.0000
Epoch  290 | Val Loss: 167.9617 | Val Cost:    0.00 | Val Max P-Miss: 1.1076 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0030 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 147.0547 | Val Cost:    0.00 | Val Max P-Miss: 1.1075 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0031 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 132.8294 | Val Cost:   -0.00 | Val Max P-Miss: 1.1074 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0032 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 120.3358 | Val Cost:   -0.00 | Val Max P-Miss: 1.1073 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0033 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  330 | Val Loss: 120.1422 | Val Cost:    0.00 | Val Max P-Miss: 1.1072 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0034 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  340 | Val Loss: 106.7940 | Val Cost:    0.00 | Val Max P-Miss: 1.1071 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0035 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  350 | Val Loss: 627.7809 | Val Cost:    1.03 | Val Max P-Miss: 1.1069 | Val Max Q-Miss: 0.4473 | Val Max Gen Viol: 0.0036 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 650.5731 | Val Cost:    0.14 | Val Max P-Miss: 1.1066 | Val Max Q-Miss: 0.4489 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 86.5556 | Val Cost:    0.04 | Val Max P-Miss: 1.1067 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0038 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  380 | Val Loss: 83.4500 | Val Cost:    0.00 | Val Max P-Miss: 1.1066 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  390 | Val Loss: 79.7819 | Val Cost:    0.00 | Val Max P-Miss: 1.1065 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0040 | Val Max Thermal: 0.0000 [*SAVED BEST*]
