Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch  320 | Cost: 1547.87 | Max P-Miss: 0.1752 | Max Q-Miss: 0.0669 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0023
Epoch  330 | Cost: 1548.51 | Max P-Miss: 0.1799 | Max Q-Miss: 0.0670 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
Epoch  340 | Cost: 1549.67 | Max P-Miss: 0.1729 | Max Q-Miss: 0.0643 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  350 | Cost: 1550.84 | Max P-Miss: 0.1817 | Max Q-Miss: 0.0639 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  360 | Cost: 1550.77 | Max P-Miss: 0.1828 | Max Q-Miss: 0.0606 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  370 | Cost: 1551.90 | Max P-Miss: 0.1753 | Max Q-Miss: 0.0662 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  380 | Cost: 1553.21 | Max P-Miss: 0.1754 | Max Q-Miss: 0.0654 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  390 | Cost: 1554.65 | Max P-Miss: 0.1858 | Max Q-Miss: 0.0650 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  400 | Cost: 1422.06 | Max P-Miss: 0.1618 | Max Q-Miss: 0.1266 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0028
Epoch  410 | Cost: 1526.49 | Max P-Miss: 0.1912 | Max Q-Miss: 0.1212 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0024
Epoch  420 | Cost: 1513.92 | Max P-Miss: 0.1662 | Max Q-Miss: 0.1088 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  430 | Cost: 1567.68 | Max P-Miss: 0.1607 | Max Q-Miss: 0.0828 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  440 | Cost: 1571.90 | Max P-Miss: 0.1544 | Max Q-Miss: 0.0728 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  450 | Cost: 1456.96 | Max P-Miss: 0.1558 | Max Q-Miss: 0.0984 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  460 | Cost: 1514.04 | Max P-Miss: 0.1531 | Max Q-Miss: 0.0780 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0023
Epoch  470 | Cost: 1588.90 | Max P-Miss: 0.1384 | Max Q-Miss: 0.0870 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  480 | Cost: 1551.87 | Max P-Miss: 0.3230 | Max Q-Miss: 0.1967 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  490 | Cost: 1530.17 | Max P-Miss: 0.1757 | Max Q-Miss: 0.0752 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch  500 | Cost: 1559.55 | Max P-Miss: 0.1697 | Max Q-Miss: 0.0685 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
Epoch  510 | Cost: 1572.57 | Max P-Miss: 0.1708 | Max Q-Miss: 0.0724 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  520 | Cost: 1577.05 | Max P-Miss: 0.1704 | Max Q-Miss: 0.0723 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  530 | Cost: 1577.71 | Max P-Miss: 0.1685 | Max Q-Miss: 0.0672 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  540 | Cost: 1579.10 | Max P-Miss: 0.1569 | Max Q-Miss: 0.0594 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  550 | Cost: 1571.27 | Max P-Miss: 0.1631 | Max Q-Miss: 0.0524 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  560 | Cost: 1562.03 | Max P-Miss: 0.1491 | Max Q-Miss: 0.0659 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  570 | Cost: 1540.52 | Max P-Miss: 0.1283 | Max Q-Miss: 0.0702 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  580 | Cost: 1538.79 | Max P-Miss: 0.1439 | Max Q-Miss: 0.0430 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  590 | Cost: 1528.38 | Max P-Miss: 0.1282 | Max Q-Miss: 0.0395 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch  600 | Cost: 1529.22 | Max P-Miss: 0.1141 | Max Q-Miss: 0.0678 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
Epoch  610 | Cost: 1557.25 | Max P-Miss: 0.1117 | Max Q-Miss: 0.0430 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  620 | Cost: 1521.29 | Max P-Miss: 0.1362 | Max Q-Miss: 0.0302 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  630 | Cost: 1547.29 | Max P-Miss: 0.1146 | Max Q-Miss: 0.0727 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  640 | Cost: 1474.57 | Max P-Miss: 0.1820 | Max Q-Miss: 0.0576 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  650 | Cost: 1520.08 | Max P-Miss: 0.1874 | Max Q-Miss: 0.0717 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  660 | Cost: 1565.84 | Max P-Miss: 0.1555 | Max Q-Miss: 0.0496 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  670 | Cost: 1573.93 | Max P-Miss: 0.1557 | Max Q-Miss: 0.0580 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  680 | Cost: 1575.91 | Max P-Miss: 0.1787 | Max Q-Miss: 0.0559 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  690 | Cost: 1570.83 | Max P-Miss: 0.1522 | Max Q-Miss: 0.0496 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  700 | Cost: 1556.60 | Max P-Miss: 0.1621 | Max Q-Miss: 0.0637 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  710 | Cost: 1548.69 | Max P-Miss: 0.1655 | Max Q-Miss: 0.0551 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  720 | Cost: 1546.80 | Max P-Miss: 0.1539 | Max Q-Miss: 0.0455 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch  730 | Cost: 1543.79 | Max P-Miss: 0.1370 | Max Q-Miss: 0.0359 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  740 | Cost: 1535.85 | Max P-Miss: 0.1539 | Max Q-Miss: 0.0400 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  750 | Cost: 1524.11 | Max P-Miss: 0.1350 | Max Q-Miss: 0.0592 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch  760 | Cost: 1488.76 | Max P-Miss: 0.3132 | Max Q-Miss: 0.1892 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
Epoch  770 | Cost: 1505.91 | Max P-Miss: 0.1107 | Max Q-Miss: 0.1426 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  780 | Cost: 1444.16 | Max P-Miss: 0.1410 | Max Q-Miss: 0.1123 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0021
Epoch  790 | Cost: 1545.49 | Max P-Miss: 0.1035 | Max Q-Miss: 0.1175 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  800 | Cost: 1551.85 | Max P-Miss: 0.1516 | Max Q-Miss: 0.0518 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  810 | Cost: 1551.30 | Max P-Miss: 0.1427 | Max Q-Miss: 0.0427 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  820 | Cost: 1555.87 | Max P-Miss: 0.1548 | Max Q-Miss: 0.0453 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  830 | Cost: 1555.15 | Max P-Miss: 0.1542 | Max Q-Miss: 0.0473 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0019
Epoch  840 | Cost: 1549.34 | Max P-Miss: 0.1575 | Max Q-Miss: 0.0427 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  850 | Cost: 1542.33 | Max P-Miss: 0.1458 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
