Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch  280 | Val Loss: 0.6404 | Val Cost:    0.02 | Val Max P-Miss: 0.4864 | Max Q-Miss: 0.1049 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  290 | Val Loss: 0.5938 | Val Cost:    0.02 | Val Max P-Miss: 0.4539 | Max Q-Miss: 0.0900 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 0.6059 | Val Cost:    0.02 | Val Max P-Miss: 0.4776 | Max Q-Miss: 0.0983 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 0.6798 | Val Cost:    0.02 | Val Max P-Miss: 0.5465 | Max Q-Miss: 0.1223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 0.9509 | Val Cost:    0.04 | Val Max P-Miss: 0.7434 | Max Q-Miss: 0.0924 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 0.7827 | Val Cost:    0.02 | Val Max P-Miss: 0.6490 | Max Q-Miss: 0.1000 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 0.6925 | Val Cost:    0.01 | Val Max P-Miss: 0.5878 | Max Q-Miss: 0.0703 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 0.6173 | Val Cost:    0.01 | Val Max P-Miss: 0.5498 | Max Q-Miss: 0.0819 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 0.5797 | Val Cost:    0.01 | Val Max P-Miss: 0.5168 | Max Q-Miss: 0.0799 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  370 | Val Loss: 0.5426 | Val Cost:    0.01 | Val Max P-Miss: 0.4663 | Max Q-Miss: 0.0900 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  380 | Val Loss: 0.5029 | Val Cost:    0.01 | Val Max P-Miss: 0.4452 | Max Q-Miss: 0.0897 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  390 | Val Loss: 0.4675 | Val Cost:    0.01 | Val Max P-Miss: 0.4088 | Max Q-Miss: 0.0778 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 0.4414 | Val Cost:    0.01 | Val Max P-Miss: 0.3808 | Max Q-Miss: 0.0675 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  410 | Val Loss: 0.4209 | Val Cost:    0.01 | Val Max P-Miss: 0.3546 | Max Q-Miss: 0.0578 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  420 | Val Loss: 0.5305 | Val Cost:    0.01 | Val Max P-Miss: 0.4688 | Max Q-Miss: 0.1156 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 0.4539 | Val Cost:    0.01 | Val Max P-Miss: 0.4150 | Max Q-Miss: 0.0765 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  440 | Val Loss: 0.4294 | Val Cost:    0.01 | Val Max P-Miss: 0.3802 | Max Q-Miss: 0.0641 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  450 | Val Loss: 0.4196 | Val Cost:    0.01 | Val Max P-Miss: 0.3661 | Max Q-Miss: 0.0584 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  460 | Val Loss: 0.4217 | Val Cost:    0.01 | Val Max P-Miss: 0.3752 | Max Q-Miss: 0.0592 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  470 | Val Loss: 0.4497 | Val Cost:    0.01 | Val Max P-Miss: 0.4161 | Max Q-Miss: 0.0732 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  480 | Val Loss: 0.4299 | Val Cost:    0.01 | Val Max P-Miss: 0.3926 | Max Q-Miss: 0.0581 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  490 | Val Loss: 0.5048 | Val Cost:    0.01 | Val Max P-Miss: 0.3648 | Max Q-Miss: 0.2083 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 0.5292 | Val Cost:    0.01 | Val Max P-Miss: 0.5338 | Max Q-Miss: 0.0980 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  510 | Val Loss: 0.4924 | Val Cost:    0.01 | Val Max P-Miss: 0.4706 | Max Q-Miss: 0.0770 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 0.5124 | Val Cost:    0.01 | Val Max P-Miss: 0.5510 | Max Q-Miss: 0.0791 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  530 | Val Loss: 0.4501 | Val Cost:    0.00 | Val Max P-Miss: 0.4966 | Max Q-Miss: 0.0820 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  540 | Val Loss: 0.4484 | Val Cost:    0.00 | Val Max P-Miss: 0.4974 | Max Q-Miss: 0.0792 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  550 | Val Loss: 0.4504 | Val Cost:    0.00 | Val Max P-Miss: 0.5015 | Max Q-Miss: 0.0792 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  560 | Val Loss: 0.4523 | Val Cost:    0.00 | Val Max P-Miss: 0.5032 | Max Q-Miss: 0.0797 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  570 | Val Loss: 0.4542 | Val Cost:    0.00 | Val Max P-Miss: 0.5039 | Max Q-Miss: 0.0787 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  580 | Val Loss: 0.4226 | Val Cost:    0.00 | Val Max P-Miss: 0.4524 | Max Q-Miss: 0.0656 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  590 | Val Loss: 0.4328 | Val Cost:    0.00 | Val Max P-Miss: 0.4660 | Max Q-Miss: 0.0694 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 0.4415 | Val Cost:    0.00 | Val Max P-Miss: 0.4773 | Max Q-Miss: 0.0712 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  610 | Val Loss: 0.4423 | Val Cost:    0.00 | Val Max P-Miss: 0.4688 | Max Q-Miss: 0.0684 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  620 | Val Loss: 0.4122 | Val Cost:    0.00 | Val Max P-Miss: 0.4341 | Max Q-Miss: 0.0631 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  630 | Val Loss: 0.6253 | Val Cost:    0.01 | Val Max P-Miss: 0.6976 | Max Q-Miss: 0.1917 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  640 | Val Loss: 0.4455 | Val Cost:    0.00 | Val Max P-Miss: 0.4136 | Max Q-Miss: 0.0989 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  650 | Val Loss: 0.4098 | Val Cost:    0.00 | Val Max P-Miss: 0.3872 | Max Q-Miss: 0.0531 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  660 | Val Loss: 0.4154 | Val Cost:    0.00 | Val Max P-Miss: 0.4006 | Max Q-Miss: 0.0556 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  670 | Val Loss: 0.3988 | Val Cost:    0.00 | Val Max P-Miss: 0.3893 | Max Q-Miss: 0.0521 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  680 | Val Loss: 0.3987 | Val Cost:    0.00 | Val Max P-Miss: 0.4014 | Max Q-Miss: 0.0532 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  690 | Val Loss: 0.3985 | Val Cost:    0.00 | Val Max P-Miss: 0.4050 | Max Q-Miss: 0.0541 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  700 | Val Loss: 0.3956 | Val Cost:    0.00 | Val Max P-Miss: 0.4068 | Max Q-Miss: 0.0578 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  710 | Val Loss: 0.4025 | Val Cost:    0.00 | Val Max P-Miss: 0.4149 | Max Q-Miss: 0.0628 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  720 | Val Loss: 0.4023 | Val Cost:    0.00 | Val Max P-Miss: 0.4055 | Max Q-Miss: 0.0635 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  730 | Val Loss: 0.3994 | Val Cost:    0.00 | Val Max P-Miss: 0.3794 | Max Q-Miss: 0.0668 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  740 | Val Loss: 0.4303 | Val Cost:    0.00 | Val Max P-Miss: 0.3348 | Max Q-Miss: 0.0747 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  750 | Val Loss: 0.4312 | Val Cost:    0.00 | Val Max P-Miss: 0.4509 | Max Q-Miss: 0.0721 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  760 | Val Loss: 0.4082 | Val Cost:    0.00 | Val Max P-Miss: 0.4205 | Max Q-Miss: 0.0645 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  770 | Val Loss: 0.3882 | Val Cost:    0.00 | Val Max P-Miss: 0.2707 | Max Q-Miss: 0.1029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  780 | Val Loss: 0.3735 | Val Cost:    0.00 | Val Max P-Miss: 0.3618 | Max Q-Miss: 0.0481 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  790 | Val Loss: 0.3725 | Val Cost:    0.00 | Val Max P-Miss: 0.3583 | Max Q-Miss: 0.0486 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  800 | Val Loss: 0.3742 | Val Cost:    0.00 | Val Max P-Miss: 0.3621 | Max Q-Miss: 0.0491 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  810 | Val Loss: 0.3767 | Val Cost:    0.00 | Val Max P-Miss: 0.3677 | Max Q-Miss: 0.0501 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  820 | Val Loss: 0.3800 | Val Cost:    0.00 | Val Max P-Miss: 0.3749 | Max Q-Miss: 0.0501 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  830 | Val Loss: 0.3751 | Val Cost:    0.00 | Val Max P-Miss: 0.3572 | Max Q-Miss: 0.0484 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  840 | Val Loss: 0.3735 | Val Cost:    0.00 | Val Max P-Miss: 0.3500 | Max Q-Miss: 0.0471 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  850 | Val Loss: 0.3746 | Val Cost:    0.00 | Val Max P-Miss: 0.3524 | Max Q-Miss: 0.0478 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  860 | Val Loss: 0.3676 | Val Cost:    0.00 | Val Max P-Miss: 0.3268 | Max Q-Miss: 0.0473 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
