Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
Ablated PINN,1,1000,1.0,3.091070000300533e-05,0.11215220370005409,0.1121831144000571,0.14954714020004028,1.3809878334838734,-6.586820135198251e-09
Ablated PINN,2,1000,1.0,1.3357200001337333e-05,0.11448574299999018,0.11449910019999152,0.14954714020004028,1.3540411463048472,4.362971950297879e-09
Ablated PINN,3,1000,1.0,1.2911899997561705e-05,0.12372464070001297,0.12373755260001053,0.14954714020004028,1.3536061784541793,-6.586820135198251e-09
Ablated PINN,4,1000,1.0,8.77540000146837e-06,0.10594255269985661,0.10595132809985808,0.14954714020004028,1.5384192628345397,-6.586820135198251e-09
Ablated PINN,5,1000,1.0,1.2345600000116974e-05,0.13848184259999835,0.13849418819999845,0.14954714020004028,1.204789891366564,-6.586820135198251e-09
