,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
Ablated PINN,3.0,1.5811388300841898,1000.0,0.0,1.0,0.0,1.5660160000697942e-05,8.715241769594146e-06,0.11895739653998243,0.012645385581161756,0.11897305669998315,0.012643773320865543,0.14954714020004028,0.0,1.3663688624888006,0.11857242214263412,-4.396861718099025e-09,4.896895888531707e-09
