Instance_ID,Cold_IPOPT_Status,Cold_IPOPT_Success,Cold_IPOPT_Time_s,Cold_IPOPT_Cost
0,optimal,True,0.7029111012816429,37581.16658725598
1,optimal,True,0.16527628293260932,37707.62420900778
2,optimal,True,0.174185655079782,35928.650807939695
3,optimal,True,0.16325125005096197,36902.03678381335
4,optimal,True,0.17722052615135908,37600.85536654788
5,optimal,True,0.15032797632738948,36866.67547005534
6,optimal,True,0.17819330887869,38004.28690234184
7,optimal,True,0.17647835984826088,36775.08123419669
8,optimal,True,0.16649687476456165,36978.40899588076
9,optimal,True,0.16484668711200356,37364.12630120166
10,optimal,True,0.15734162414446473,36704.93616789373
11,optimal,True,0.1653347578831017,38193.61240151597
12,optimal,True,0.17272009886801243,37317.390173038286
13,optimal,True,0.16230066120624542,36927.52024933221
14,optimal,True,0.15275218430906534,37281.01560739845
15,optimal,True,0.18817367497831583,36970.38087601325
16,optimal,True,0.15071173012256622,38848.967280889054
17,optimal,True,0.16454313090071082,37957.91146352359
18,optimal,True,0.16798556502908468,38056.536893261014
19,optimal,True,0.15467966394498944,36767.26822304173
20,optimal,True,0.15710142068564892,37706.58572882871
21,optimal,True,0.1470939521677792,36531.38966684323
22,optimal,True,0.17751768277958035,35866.798990233656
23,optimal,True,0.1634733946993947,36789.37153111116
24,optimal,True,0.16366574121639132,37923.84644974744
25,optimal,True,0.1676783710718155,39062.01264174192
26,optimal,True,0.17329609440639615,38502.70951805598
27,optimal,True,0.1849055322818458,37098.46446151903
28,optimal,True,0.16222716961055994,37732.51147009323
29,optimal,True,0.15790659096091986,36949.69147879762
30,optimal,True,0.16730546113103628,37873.52054076799
31,optimal,True,0.17901972075924277,37154.95594431231
32,optimal,True,0.18053290899842978,36261.06802752526
33,optimal,True,0.18167275795713067,39175.58797208662
34,optimal,True,0.1574292448349297,37392.7018554338
35,optimal,True,0.16317337797954679,37819.358279943845
36,optimal,True,0.17270202282816172,36667.54102069772
37,optimal,True,0.17220648238435388,37589.13373195846
38,optimal,True,0.16877389373257756,38839.06333083153
39,optimal,True,0.1731656058691442,38987.1527669687
40,optimal,True,0.1702394988387823,37519.98880849758
41,optimal,True,0.17482736380770802,37988.35995223662
42,optimal,True,0.17914998810738325,36992.35131840283
43,optimal,True,0.1642176043242216,35874.39157093305
44,optimal,True,0.15632262779399753,39059.96251351456
45,optimal,True,0.19209432182833552,37354.62688591712
46,optimal,True,0.18672784510999918,35926.89636147079
47,optimal,True,0.16750276321545243,36344.674703520446
48,optimal,True,0.16563858278095722,38775.287127550735
49,optimal,True,0.1572557552717626,37206.57563606999
50,optimal,True,0.17130042379722,38144.41590346441
51,optimal,True,0.18258094880729914,38201.28089594828
52,optimal,True,0.1925481427460909,37557.40050408594
53,optimal,True,0.19497771095484495,37103.61659903618
54,optimal,True,0.14807749027386308,38652.06382056266
55,optimal,True,0.1681971619836986,36125.056598874
56,optimal,True,0.15994738694280386,38451.28557363243
57,optimal,True,0.19348012981936336,37953.532765328346
58,optimal,True,0.17371253808960319,37505.3012961932
59,optimal,True,0.1754008373245597,37336.403300325714
60,optimal,True,0.1667244080454111,38224.219037981136
61,optimal,True,0.16332609625533223,38559.43102619601
62,optimal,True,0.15687783993780613,37686.158462465435
63,optimal,True,0.17539396975189447,37413.68150609963
64,optimal,True,0.16821224195882678,36439.882954135726
65,optimal,True,0.17030325904488564,38366.516206097745
66,optimal,True,0.15732589783146977,37814.308432089
67,optimal,True,0.14983282098546624,37614.95786348039
68,optimal,True,0.16429949924349785,36768.491662672684
69,optimal,True,0.16616551019251347,36594.212788340985
70,optimal,True,0.16360138915479183,37939.40345430642
71,optimal,True,0.1718249088153243,37461.558472891644
72,optimal,True,0.15885528223589063,38787.67504438643
73,optimal,True,0.16165153915062547,37538.58368513447
74,optimal,True,0.1628123982809484,38012.70549453402
75,optimal,True,0.1758916899561882,38298.60953290395
76,optimal,True,0.157206985168159,37765.73389393453
77,optimal,True,0.1539055360481143,38288.2214258203
78,optimal,True,0.1596518591977656,37333.244437248824
79,optimal,True,0.16837548092007637,36868.85723945147
80,optimal,True,0.15642403066158295,37887.28953562926
81,optimal,True,0.16714714094996452,38047.12494683865
82,optimal,True,0.1646295888349414,37523.29088594467
83,optimal,True,0.1670937710441649,37748.46372995909
84,optimal,True,0.17567379772663116,37190.51122014362
85,optimal,True,0.16680961195379496,38475.23518885515
86,optimal,True,0.15759934578090906,36474.638078183685
87,optimal,True,0.17727523716166615,37692.54814357951
88,optimal,True,0.16818991024047136,38016.96605048681
89,optimal,True,0.1562495599500835,38555.68784773327
90,optimal,True,0.17439806507900357,38145.630979779344
91,optimal,True,0.17239519394934177,37522.18984335877
92,optimal,True,0.15336682694032788,38441.50359721302
93,optimal,True,0.1692102262750268,37228.57908703115
94,optimal,True,0.17454480193555355,36075.97847745826
95,optimal,True,0.19474938185885549,37387.789075273315
96,optimal,True,0.19672943884506822,36501.849345063434
97,optimal,True,0.16007161233574152,37267.596340931654
98,optimal,True,0.1627348968759179,37118.319200907456
99,optimal,True,0.16705886228010058,37267.28662013373
100,optimal,True,0.16729594115167856,36805.742381092845
101,optimal,True,0.15785615518689156,36720.79052825218
102,optimal,True,0.1699013072066009,38807.4214056756
103,optimal,True,0.16373063810169697,37074.089029829964
104,optimal,True,0.1857084440998733,38523.04834376025
105,optimal,True,0.1765054389834404,37290.921299723195
106,optimal,True,0.16270018462091684,38125.56514261794
107,optimal,True,0.14864497305825353,36918.559273525694
108,optimal,True,0.16853704396635294,38254.66403269718
109,optimal,True,0.16339122597128153,37194.60318317333
110,optimal,True,0.17150340881198645,37328.73881476896
111,optimal,True,0.1681589698418975,36987.636482117035
112,optimal,True,0.15145398303866386,37816.37176732379
113,optimal,True,0.16176906181499362,37243.61461154032
114,optimal,True,0.16708100400865078,37855.0080039518
115,optimal,True,0.1495927912183106,37754.193696234826
116,optimal,True,0.18619928089901805,36220.84474518762
117,optimal,True,0.16017498588189483,37509.507798005856
118,optimal,True,0.16375123895704746,37102.10286882047
119,optimal,True,0.1608690395951271,36526.41564666311
120,optimal,True,0.1661076066084206,37424.068049414054
