,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00010397175792604685,2.5470588247208694e-06,0.9588866828242317,0.05686505621118548,0.9589906545821577,0.0568670065311878,0.7319156928861048,0.0,0.766977660726217,0.04807426430352785,-5.054438870730165e-12,3.2898791175581864e-12
FSNet,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00010561150265857578,3.749544732582408e-06,0.9428098471136763,0.04329112295174296,0.942915458616335,0.04329348158839963,0.7319156928861048,0.0,0.7779964421823957,0.035169318955222476,-6.935891691161658e-12,7.475116775997292e-13
KKT,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00024085186887532473,5.384294709912425e-05,0.8575942254334222,0.04911901190485022,0.8578350773022976,0.04914403036568072,0.7319156928861048,0.0,0.8600749068236727,0.05165183319721678,-4.167920198608386e-12,3.83349280920846e-12
PINN Baseline,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.00017163367592729629,0.00011214197264503195,0.8574223191128112,0.28012422856976416,0.8575939527887385,0.2800781541748039,0.7319156928861048,0.0,0.9518156912668676,0.16836307547767498,-5.219348162646664e-12,3.039131503712648e-12
Rahul's Model,3.0,1.5811388300841898,8.0,0.0,1.0,0.0,0.000230103253852576,2.6860849321387593e-05,0.8732559952419251,0.006108780868544551,0.8734860984957777,0.006108596535095801,0.7319156928861048,0.0,0.8368429879599362,0.006290019898752078,-2.5298579457562875e-12,3.938213517469205e-12
