Bus,Architecture,Run,N_Attempted,N_Success,Success_Rate,NN_Time_s,IPOPT_Restoration_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
14,Ablated PINN,1,1000,1000,1.0,3.091070000300532e-05,0.11215220370005406,0.11218311440005703,0.1495471402000403,1.3330628321365652,-6.58682013519825e-09
14,Ablated PINN,2,1000,1000,1.0,1.3357200001337333e-05,0.11448574299999015,0.11449910019999147,0.1495471402000403,1.3060988246967153,4.362971950297879e-09
14,Ablated PINN,3,1000,1000,1.0,1.2911899997561708e-05,0.12372464070001297,0.1237375526000105,0.1495471402000403,1.2085833044028351,-6.58682013519825e-09
14,Ablated PINN,4,1000,1000,1.0,8.775400001468371e-06,0.10594255269985657,0.10595132809985802,0.1495471402000403,1.4114701805256626,-6.58682013519825e-09
14,Ablated PINN,5,1000,1000,1.0,1.2345600000116976e-05,0.13848184259999835,0.1384941881999984,0.1495471402000403,1.0798080565235013,-6.58682013519825e-09
14,DC3,1,1000,1000,1.0,1.066130000253906e-05,0.1292555702001373,0.1292662315001398,0.1495471402000403,1.156892550084734,-1.9612470864371553e-09
14,DC3,2,1000,1000,1.0,1.3019500001973946e-05,0.13846845449996545,0.13848147399996738,0.1495471402000403,1.0799071953846733,-9.463348371901626e-10
14,DC3,3,1000,1000,1.0,9.952899999916551e-06,0.15314008639994792,0.15315003929994778,0.1495471402000403,0.9764747099225283,-3.6746432833849e-09
14,DC3,4,1000,1000,1.0,2.2416600000724428e-05,0.18489802529996086,0.18492044189996154,0.1495471402000403,0.8087107010102349,1.6950093222306327e-09
14,DC3,5,1000,1000,1.0,1.3667200000782027e-05,0.18370075300005556,0.1837144202000563,0.1495471402000403,0.814019607373175,-4.395610121138202e-09
14,FSNet,1,1000,1000,1.0,1.4070199998968752e-05,0.1978388455999775,0.19785291579997638,0.1495471402000403,0.7558500697115234,1.9648924615009045e-10
14,FSNet,2,1000,1000,1.0,1.3522299999749515e-05,0.17729439310004455,0.17730791540004429,0.1495471402000403,0.8434318336134641,-4.493407912521958e-09
14,FSNet,3,1000,1000,1.0,9.983300002204488e-06,0.11814013149994931,0.11815011479995152,0.1495471402000403,1.265738424827173,-5.167939499374038e-09
14,FSNet,4,1000,1000,1.0,9.874700001091696e-06,0.13709886689995618,0.13710874159995723,0.1495471402000403,1.090719223697455,-4.952271366562814e-09
14,FSNet,5,1000,1000,1.0,1.414989999830141e-05,0.11778714560001023,0.11780129550000852,0.1495471402000403,1.269486380139423,-5.86042550962574e-09
14,KKT,1,1000,1000,1.0,8.478200001263756e-06,0.13977552289991219,0.13978400109991337,0.1495471402000403,1.0698444673446466,-7.08855119453908e-09
14,KKT,2,1000,1000,1.0,1.9664400002511677e-05,0.143976458200028,0.14399612260003047,0.1495471402000403,1.0385497713395282,-7.247361353528779e-09
14,KKT,3,1000,1000,1.0,1.0565199998382011e-05,0.12873410460001833,0.12874466980001667,0.1495471402000403,1.1615792749504643,-7.311822578485006e-09
14,KKT,4,1000,1000,1.0,3.186859999550505e-05,0.17019012230006775,0.17022199090006318,0.1495471402000403,0.8785418347494184,-7.049084544726029e-09
14,KKT,5,1000,1000,1.0,3.4441800002241506e-05,0.16516922760012676,0.165203669400129,0.1495471402000403,0.90522892586503,-7.185408210208035e-09
14,PINN Baseline,1,1000,1000,1.0,6.644470000173896e-05,0.1485118206999323,0.14857826539993396,0.1495471402000403,1.006520972616677,-8.17797099028943e-09
14,PINN Baseline,2,1000,1000,1.0,1.335379999727593e-05,0.12511158269993755,0.1251249364999348,0.1495471402000403,1.1951825462074719,-8.845413303273812e-09
14,PINN Baseline,3,1000,1000,1.0,2.0584800000506214e-05,0.1169893409999822,0.1170099257999827,0.1495471402000403,1.2780722590635334,-1.1060572865599688e-08
14,PINN Baseline,4,1000,1000,1.0,1.2353699999948732e-05,0.13369976379995568,0.13371211749995557,0.1495471402000403,1.1184262353790786,-1.903388715856762e-09
14,PINN Baseline,5,1000,1000,1.0,8.924099998694146e-06,0.11344971250000159,0.11345863660000029,0.1495471402000403,1.318076302355637,-6.688304023402885e-10
14,Rahul's Model,1,1000,1000,1.0,2.9290500002389317e-05,0.18313205999985802,0.18316135049986035,0.1495471402000403,0.816477601807999,-1.1084703249960914e-08
14,Rahul's Model,2,1000,1000,1.0,2.3449599997547924e-05,0.17908181439999316,0.17910526399999066,0.1495471402000403,0.8349678667180218,-1.181994690172391e-08
14,Rahul's Model,3,1000,1000,1.0,2.596700000140118e-05,0.13096073289993365,0.130986699899935,0.1495471402000403,1.141697136535879,-1.3877848468686294e-08
14,Rahul's Model,4,1000,1000,1.0,9.59090000105789e-06,0.14965412240015577,0.14966371330015676,0.1495471402000403,0.9992210997739802,-1.0942945242024878e-08
14,Rahul's Model,5,1000,1000,1.0,9.627899999031795e-06,0.18729633149999428,0.1873059593999933,0.1495471402000403,0.7984110098743908,-1.1042170070048091e-08
57,Ablated PINN,1,1000,1000,1.0,4.488692432641983e-05,0.22358386598946528,0.22362875291379164,0.1683460526880808,0.7527925210626999,-1.9653488020297603e-12
57,Ablated PINN,2,1000,1000,1.0,2.923230640590191e-07,0.2174166355272755,0.2174169278503395,0.1683460526880808,0.7743005770183774,-1.772380892704068e-12
57,Ablated PINN,3,1000,1000,1.0,2.43883114308119e-07,0.16224094556923957,0.1622411894523538,0.1683460526880808,1.0376283190251132,-2.1038250690935503e-12
57,Ablated PINN,4,1000,1000,1.0,2.526347525417806e-07,0.12981441082898526,0.12981466346373777,0.1683460526880808,1.29681846562046,-1.8283819603145806e-12
57,Ablated PINN,5,1000,1000,1.0,2.6782369241118433e-07,0.12660218788264319,0.12660245570633555,0.1683460526880808,1.3297218584651538,-1.6188242065359682e-12
57,DC3,1,1000,1000,1.0,6.52956310659647e-07,0.15916572255827485,0.15916637551458548,0.1683460526880808,1.0576734699387191,5.055950278659791e-13
57,DC3,2,1000,1000,1.0,6.349468603730203e-07,0.1636730359918438,0.16367367093870416,0.1683460526880808,1.0285469356346657,-1.7365807143970172e-13
57,DC3,3,1000,1000,1.0,6.783236749470232e-07,0.1612714342046529,0.16127211252832785,0.1683460526880808,1.0438633812681681,-1.0227566983108319e-13
57,DC3,4,1000,1000,1.0,7.674801163375382e-07,0.1678021444613114,0.16780291194142774,0.1683460526880808,1.0032367778387699,-1.8244099441820787e-13
57,DC3,5,1000,1000,1.0,4.024547524750232e-07,0.17277558401459828,0.1727759864693507,0.1683460526880808,0.9743602460515789,-1.920957524644046e-13
57,FSNet,1,1000,1000,1.0,1.0826289653778076e-06,0.17189107415126637,0.17189215678023165,0.1683460526880808,0.9793701809403403,8.453788649717172e-13
57,FSNet,2,1000,1000,1.0,3.659049980342387e-07,0.15753489988530053,0.15753526579029853,0.1683460526880808,1.0686245511031984,9.92675131484715e-13
57,FSNet,3,1000,1000,1.0,3.72803770005703e-07,0.17524841181794182,0.17524878462171178,0.1683460526880808,0.9606118128092526,9.903622647165259e-13
57,FSNet,4,1000,1000,1.0,3.515672869980337e-07,0.17407071842579172,0.17407106999307864,0.1683460526880808,0.9671110351351004,8.934824521231148e-13
57,FSNet,5,1000,1000,1.0,6.402162835001944e-07,0.15710838257009163,0.15710902278637515,0.1683460526880808,1.0715237718522692,9.167012299522603e-13
57,KKT,1,1000,1000,1.0,8.819936774671075e-07,0.1629134484785609,0.1629143304722383,0.1683460526880808,1.0333409725227831,-4.584359662320128e-13
57,KKT,2,1000,1000,1.0,9.673209860920906e-07,0.16237630097940564,0.16237726830039168,0.1683460526880808,1.0367587436970989,-7.24133151867694e-13
57,KKT,3,1000,1000,1.0,8.3002308383584e-07,0.162956875261385,0.16295770528446882,0.1683460526880808,1.0330659258744823,-3.499647194152231e-13
57,KKT,4,1000,1000,1.0,3.944491036236287e-07,0.16353914840705694,0.16353954285616054,0.1683460526880808,1.0293905054886192,-7.543394146413892e-13
57,KKT,5,1000,1000,1.0,1.2044492177665237e-06,0.16234345030458644,0.16234465475380416,0.1683460526880808,1.0369670189842577,-5.020344194078519e-13
57,PINN Baseline,1,1000,1000,1.0,8.599354699254036e-05,0.17018069722363724,0.17026669077062975,0.1683460526880808,0.988719824917862,-1.2875580788881563e-12
57,PINN Baseline,2,1000,1000,1.0,3.706039860844612e-07,0.19323123732442035,0.19323160792840643,0.1683460526880808,0.8712138479459018,-1.4136909706809683e-12
57,PINN Baseline,3,1000,1000,1.0,9.174016304314136e-07,0.19075833719130605,0.19075925459293644,0.1683460526880808,0.8825052973042726,-1.3644014990183363e-12
