Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,0.33793634,-0.4711651
PINN Baseline,0.34939253,-0.45668638
PINN Baseline,0.3484419,-0.45786962
PINN Baseline,0.33052367,-0.48079744
PINN Baseline,0.35146636,-0.45411623
PINN Baseline,0.36601275,-0.4365038
PINN Baseline,0.33344454,-0.4769764
PINN Baseline,0.33448786,-0.47561964
PINN Baseline,0.33584446,-0.4738618
PINN Baseline,0.32352853,-0.49008742
PINN Baseline,0.36061597,-0.44295505
PINN Baseline,0.33991766,-0.46862626
PINN Baseline,0.34960347,-0.45642427
PINN Baseline,0.35716313,-0.4471334
PINN Baseline,0.3400718,-0.4684294
PINN Baseline,0.33483696,-0.47516662
PINN Baseline,0.31296092,-0.50450987
PINN Baseline,0.33437747,-0.475763
PINN Baseline,0.34011096,-0.46837938
PINN Baseline,0.3259939,-0.48679054
PINN Baseline,0.35993695,-0.44377357
PINN Baseline,0.33014894,-0.4812901
PINN Baseline,0.34957606,-0.45645833
PINN Baseline,0.33207017,-0.47877014
PINN Baseline,0.33779383,-0.4713483
PINN Baseline,0.34726954,-0.4593333
PINN Baseline,0.33167994,-0.4792808
PINN Baseline,0.360843,-0.4426817
PINN Baseline,0.36472428,-0.43803534
PINN Baseline,0.33318037,-0.47732058
PINN Baseline,0.35710734,-0.44720122
PINN Baseline,0.33682472,-0.47259605
PINN Baseline,0.3200404,-0.4947952
PINN Baseline,0.33736444,-0.4719007
PINN Baseline,0.3416944,-0.46636212
PINN Baseline,0.33424366,-0.47593683
PINN Baseline,0.3436033,-0.46394265
PINN Baseline,0.35521895,-0.44950387
PINN Baseline,0.32837808,-0.48362583
PINN Baseline,0.34180105,-0.4662266
PINN Baseline,0.34564346,-0.46137166
PINN Baseline,0.36262417,-0.44054326
PINN Baseline,0.33062333,-0.48066652
PINN Baseline,0.35947204,-0.4443349
PINN Baseline,0.32528222,-0.48773968
PINN Baseline,0.34803575,-0.45837614
PINN Baseline,0.34067696,-0.46765724
PINN Baseline,0.34012282,-0.46836424
PINN Baseline,0.36248994,-0.44070405
PINN Baseline,0.32262164,-0.4913065
PINN Baseline,0.34390408,-0.46356267
PINN Baseline,0.35775328,-0.44641638
PINN Baseline,0.37330055,-0.42794138
PINN Baseline,0.3453334,-0.46176142
PINN Baseline,0.34843475,-0.45787853
PINN Baseline,0.32847136,-0.48350248
PINN Baseline,0.35337365,-0.45176584
PINN Baseline,0.35046595,-0.45535415
PINN Baseline,0.34931254,-0.45678583
PINN Baseline,0.36784393,-0.43433642
PINN Baseline,0.3394664,-0.4692032
PINN Baseline,0.3436883,-0.46383524
PINN Baseline,0.34566057,-0.46135017
PINN Baseline,0.35273087,-0.45255652
PINN Baseline,0.36641544,-0.43602625
PINN Baseline,0.34560376,-0.46142155
PINN Baseline,0.35193974,-0.45353168
PINN Baseline,0.32945192,-0.48220795
PINN Baseline,0.3603145,-0.44331828
PINN Baseline,0.34331214,-0.46431082
PINN Baseline,0.3362397,-0.473351
PINN Baseline,0.37172526,-0.42977792
PINN Baseline,0.33105773,-0.48009628
PINN Baseline,0.33262277,-0.47804803
PINN Baseline,0.33737123,-0.47189197
PINN Baseline,0.33274692,-0.47788596
PINN Baseline,0.3485914,-0.45768335
PINN Baseline,0.3517925,-0.45371342
PINN Baseline,0.3322063,-0.47859213
PINN Baseline,0.34036672,-0.46805292
PINN Baseline,0.34800267,-0.45841742
PINN Baseline,0.30889738,-0.5101858
PINN Baseline,0.33615476,-0.47346073
PINN Baseline,0.3524198,-0.45293972
PINN Baseline,0.34996355,-0.4559772
PINN Baseline,0.33267635,-0.47797808
