Architecture,Run,Optimality_Gap,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq
Ablated PINN,1,-862.2129323120117,0.0351001445800066,0.007503213917370886,8.615534524917603,0.23863409617543221
Ablated PINN,2,-279.6611846313477,0.05382232209295034,0.015636890176683665,2.9261005482673643,0.17620832036435605
Ablated PINN,3,-854.4288455200195,0.042167320128530264,0.008193898860830814,8.546283812522889,0.24053940585255623
Ablated PINN,4,-804.9347422485351,0.030680752776563167,0.008175390501040965,8.10845073890686,0.2998057978749275
Ablated PINN,5,-804.8993868408203,0.03261048006638884,0.006856581707950681,8.108305682182312,0.30176516669988634
DC3,1,-38.74295365524292,0.9850751592516899,0.1250760049149394,0.07322988539934158,0.004229053039569408
DC3,2,-32.66360305595398,1.0406430574655532,0.11422100269794463,0.020642268240451813,0.00018261234881356358
DC3,3,-31.805008087158203,1.0501674244403838,0.11340102652460336,0.012307232439517975,9.615025343373418e-05
DC3,4,-32.959742870330814,1.0368050025701523,0.11527117415517568,0.022008031725883483,0.0005507275266572833
DC3,5,-36.81626517105103,1.0334794368743896,0.12083924426138401,0.058633218944072724,0.0020501208454370497
FSNet,1,-9.677157190084458,1.416134194135666,0.2699629244208336,0.8815997189879418,0.09621919107437134
FSNet,2,-1.398002446058672,9.318998808860778,1.8642114289999008,15.087036619186401,0.44676505094766616
FSNet,3,-1.3911810654196888,9.402688475608826,1.8744326330423355,15.103292708396912,0.4530208821296692
FSNet,4,-1.3926868069900666,9.141275308609009,1.8470367015600204,14.08442363357544,0.5236369768381118
FSNet,5,-1.4038688951021432,9.177847730636596,1.8614825094938279,13.846957485198974,0.5127214749455452
KKT,1,6.020524494245648,1.7049658836126327,0.19103996039927007,0.0,0.0
KKT,2,6.0838265100326385,1.1318422516584397,0.18169532203674316,0.0,0.0
KKT,3,6.184219614423113,1.944985589981079,0.2022121175080538,0.0,0.0
KKT,4,5.974418506095186,1.4364455446004867,0.1798265022188425,0.0,0.0
KKT,5,6.039997106298804,5.079327826976776,0.47438860264420507,0.0,0.0
PINN Baseline,1,0.7589765963139944,1.507521145939827,0.1203370748758316,0.13768060487508774,0.008726411801762878
PINN Baseline,2,35.2189210357666,1.0956491994857789,0.1253170286938548,0.42588541129231455,0.03996847586706281
PINN Baseline,3,32.88959850883484,1.1181355183124542,0.11509360451996327,0.43260980236530305,0.04111043306067586
PINN Baseline,4,-19.235077275276183,0.6951915262341499,0.11896944882720709,0.7098399860262871,0.07070331577956676
PINN Baseline,5,8.169750062406063,0.09126409647613763,0.04408286951109767,0.058819929361343386,0.0010484968619421124
Rahul's Model,1,9.342404702425004,0.24961086849868297,0.06127967816591263,0.027000348448753358,0.0006705671008676291
Rahul's Model,2,11.679005484104156,0.35881186729669573,0.07536008327454329,0.027988401532173156,0.0007254908950999379
Rahul's Model,3,6.2517358461488035,0.3503062247335911,0.07651928365975619,0.022703330278396605,0.00023782175220549108
Rahul's Model,4,9.257892439246177,0.19673921191692353,0.05876800472661853,0.028215393900871275,0.0007930694688111544
Rahul's Model,5,10.122218771457671,0.20720217253267764,0.06516785292327404,0.025506967663764955,0.000735151925124228
