Architecture,Run,Optimality_Gap,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq
Ablated PINN,1,-414.21633367919924,1.303841326713562,0.13975476087629796,57.004697372436524,0.8222265567779541
Ablated PINN,2,-445.45867196655274,1.5573023711442948,0.13895140545070173,59.157347286224365,0.8365248802900315
Ablated PINN,3,-419.15102017211916,2.25095676112175,0.14389323726296424,56.81038026809692,0.8231838847994805
Ablated PINN,4,-390.3398838806152,1.7134694228172302,0.14329431000351905,61.09737724304199,0.8147157391905785
Ablated PINN,5,-456.6748592529297,1.6511771364212036,0.1400542482584715,58.92994637680054,0.8102849712371826
DC3,1,53.83666593170166,305.1650648803711,10.235045299530029,76053.895125,106.43188147735596
DC3,2,54.28158934402466,300.1035167236328,10.186309363365174,73560.59375,104.53933715820312
DC3,3,53.84593991851806,297.2915965881348,10.185898042678833,72244.734375,102.76361846923828
DC3,4,54.16764561462402,301.5276805725098,10.214796144485474,74250.671875,104.87873077392578
DC3,5,54.03518099212646,301.5878306884766,10.195171718597413,74250.3359375,104.77146911621094
FSNet,1,52.10818161010742,310.904331237793,10.260295365333556,78721.376546875,109.24667617034912
FSNet,2,52.102884132385256,313.73855703735353,10.230552945137024,79825.828125,110.6959228515625
FSNet,3,52.03326152420044,309.7830821533203,10.289955854415894,78250.234375,108.59858703613281
FSNet,4,52.32411233901978,312.0805675048828,10.194761981964112,79110.859375,109.98020935058594
FSNet,5,52.204305046081544,312.2620555725098,10.250492736816406,79263.625,110.13092803955078
KKT,1,49.987802917480465,0.8651379157304764,0.12890835551172494,0.08585548400878906,0.0003692743193823844
KKT,2,55.16175765991211,3.0648841857910156,0.13987298226356507,0.047666072845458984,0.00013933749869465828
KKT,3,49.322338638305666,1.0347677617669107,0.1318871736228466,0.08358383178710938,0.00041405524825677276
KKT,4,56.62254933929443,1.5902762398719787,0.12912554930895567,0.08688926696777344,7.88673060014844e-05
KKT,5,49.67271573638916,2.073291301727295,0.13561896492540837,0.129150390625,0.00043828695197589695
PINN Baseline,1,54.014772693634036,0.8744479451775551,0.13146694100648165,25.952224571228026,0.06226431910693646
PINN Baseline,2,54.29319528579712,1.2806012980937957,0.1434856628924608,25.083942413330078,0.06386963278055191
PINN Baseline,3,53.90662144470215,1.1619422980546952,0.1508659467846155,25.646432121276856,0.06562581938505173
PINN Baseline,4,57.19128532409668,1.1213728543519974,0.1366174549907446,26.184883567810058,0.06748608157783746
PINN Baseline,5,54.1790361366272,0.8809815381765366,0.13737014846503734,25.110761280059815,0.06194174175709486
Rahul's Model,1,211.05311065673828,1.600064238190651,0.04496731362119317,0.12660253465175628,0.0002961683030735003
Rahul's Model,2,202.20002383422852,1.5491181911230087,0.051806194268167016,0.07042863237857819,8.538586286886129e-05
Rahul's Model,3,199.94995265197753,1.329763406395912,0.04982857622951269,0.1119909474849701,0.00014138707097299629
Rahul's Model,4,201.76654782104492,1.2946277388334275,0.04894013079255819,0.18443352150917053,0.00017678838175925194
Rahul's Model,5,202.46931283569336,1.2611054431200028,0.04867209402471781,0.1133569221496582,0.00011728993282667943
