Architecture,Run,Raw_Max_Violation,Log_Max_Violation
Ablated PINN,Run 1,57.0047,1.7559106
Ablated PINN,Run 2,59.15735,1.7720088
Ablated PINN,Run 3,56.81038,1.7544278
Ablated PINN,Run 4,61.097378,1.7860225
Ablated PINN,Run 5,58.929947,1.770336
DC3,Run 1,76053.9,4.8811216
DC3,Run 2,73560.59,4.8666453
DC3,Run 3,72244.734,4.858806
DC3,Run 4,74250.67,4.8707004
DC3,Run 5,74250.336,4.8706985
FSNet,Run 1,78721.375,4.896093
FSNet,Run 2,79825.83,4.9021435
FSNet,Run 3,78250.234,4.8934855
FSNet,Run 4,79110.86,4.8982363
FSNet,Run 5,79263.625,4.899074
KKT,Run 1,0.86513793,-0.072100036
KKT,Run 2,3.0648842,0.48641407
KKT,Run 3,1.0347679,0.0108878985
KKT,Run 4,1.5902762,0.2012212
KKT,Run 5,2.0732913,0.3166603
PINN Baseline,Run 1,25.952225,1.4141746
PINN Baseline,Run 2,25.083942,1.3993958
PINN Baseline,Run 3,25.646431,1.409027
PINN Baseline,Run 4,26.184883,1.4180506
PINN Baseline,Run 5,25.110762,1.3998599
Rahul's Model,Run 1,1.6000642,0.20408729
Rahul's Model,Run 2,1.5491182,0.18980049
Rahul's Model,Run 3,1.3297634,0.1237039
Rahul's Model,Run 4,1.2946277,0.11203173
Rahul's Model,Run 5,1.2611054,0.10039112
