Architecture,Metric,Bootstrap_Mean,CI95_Low,CI95_High
PINN Baseline,Optimality_Gap,-21.479015904135895,-21.58739303475857,-21.385019704556466
PINN Baseline,Max_Eq,0.09553930371338427,0.09355181568834929,0.09788356113158166
PINN Baseline,Mean_Eq,0.02562869089297466,0.02543793701706454,0.02583368161267601
PINN Baseline,Max_Ineq,0.34283292740561966,0.33834154478728773,0.34738870868623256
PINN Baseline,Mean_Ineq,0.03169653469359912,0.0310027896553278,0.03239970793317072
DC3,Optimality_Gap,-21.929880107245257,-22.155515916070936,-21.75018803898811
DC3,Max_Eq,37.17766506482848,36.90475680227279,37.378249049396516
DC3,Mean_Eq,3.0224500368413927,3.014822718293667,3.0297873030841354
DC3,Max_Ineq,929.0267007585205,925.396090812378,932.4678359875488
DC3,Mean_Ineq,8.085172704437257,8.042552794904712,8.123873967614173
FSNet,Optimality_Gap,-23.777305759770968,-23.87793184939861,-23.664954042325014
FSNet,Max_Eq,38.32726058502578,38.22482803970336,38.43415995471955
FSNet,Mean_Eq,2.9627521148889064,2.9600328130280973,2.965405552027225
FSNet,Max_Ineq,940.3902173538086,935.4263112100219,945.6746660272216
FSNet,Mean_Ineq,8.33915275360203,8.305001297950744,8.376817860651016
KKT,Optimality_Gap,-18.447615620133973,-18.57299998608589,-18.311307481784823
KKT,Max_Eq,0.06347687078032792,0.06198403377249837,0.06465662337465211
KKT,Mean_Eq,0.023118592809207368,0.023003613829780372,0.023231523884562778
KKT,Max_Ineq,0.00377390317363739,0.003640269255638123,0.003907920578122139
KKT,Mean_Ineq,1.5982214643290352e-05,1.5498678537892374e-05,1.6418840244668898e-05
Rahul's Model,Optimality_Gap,9.382657667734886,8.042881353602409,11.075626897014976
Rahul's Model,Max_Eq,0.9179098417255879,0.8262667936557531,1.0017341226825116
Rahul's Model,Mean_Eq,0.11246310710744263,0.09632351679097861,0.13548213575638832
Rahul's Model,Max_Ineq,0.0066040699023246765,0.0020998632687330245,0.010882263860106465
Rahul's Model,Mean_Ineq,2.7904968452267757e-05,7.886888462030582e-06,4.754693501125302e-05
Ablated PINN,Optimality_Gap,-320.77736599619755,-330.7063589668274,-302.1118247770691
Ablated PINN,Max_Eq,0.14070437729636132,0.10906584425225854,0.16560002291835843
Ablated PINN,Mean_Eq,0.025965947013191878,0.022940450409660116,0.027909087862344455
Ablated PINN,Max_Ineq,17.367928721679686,16.913775367507935,17.617052234306335
Ablated PINN,Mean_Ineq,0.36570604334773416,0.35757930445358155,0.3765960038906336
