Architecture,Run,Optimality_Gap,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq
Ablated PINN,1,-329.9969998779297,0.1566219767332077,0.026847920332103967,17.604195655822753,0.36253386399149895
Ablated PINN,2,-328.60334811401367,0.17635193002223967,0.028098428029567003,17.55601633644104,0.35794107463955877
Ablated PINN,3,-331.8411116333008,0.14242028239369392,0.026397455336526036,17.65824348449707,0.36683959084749224
Ablated PINN,4,-327.92935174560546,0.1455211078673601,0.028268536653369664,17.504715148925783,0.35478908532857895
Ablated PINN,5,-284.19602780151365,0.08124188476800918,0.02001002448424697,16.485503341674804,0.38714987471699713
DC3,1,-21.89678919219971,36.67832434463501,3.0340659523010256,935.141348022461,8.012263132095336
DC3,2,-21.73175858783722,37.48207948684692,3.030039930820465,929.5084318237305,8.152114129543305
DC3,3,-21.754833311080933,37.27782392120361,3.0206947615146635,927.156200378418,8.09636275100708
DC3,4,-22.305390511512755,37.2257766456604,3.01096231508255,930.6664410400391,8.081100230693817
DC3,5,-21.96274095439911,37.20124872970581,3.0170953640937803,922.7560665283203,8.080758974075318
FSNet,1,-23.745832563400267,38.34482963180542,2.962956932783127,938.5292324829102,8.326436245918273
FSNet,2,-23.876913954734803,38.329099700927735,2.9632009663581846,942.3364686279297,8.356051283836365
FSNet,3,-23.799046957969665,38.50835977554321,2.967262668132782,949.345379272461,8.401307012557984
FSNet,4,-23.84673560142517,38.15680184936524,2.9583882184028627,932.182260131836,8.282486514091492
FSNet,5,-23.611913097381592,38.29413411712647,2.961922732591629,939.2883869628906,8.327680652618408
KKT,1,-18.51953328514099,0.060729988489300016,0.022998077671974898,0.0037420307397842407,1.5954677913214256e-05
KKT,2,-18.23922539138794,0.06529260030388832,0.022972882829606533,0.0035352745056152343,1.504573960301059e-05
KKT,3,-18.566746950149536,0.06389518796652556,0.023082827793434263,0.003997717022895813,1.6534581061023344e-05
KKT,4,-18.42074691581726,0.06355301559343934,0.02328831494040787,0.0038740849494934082,1.652943236513238e-05
KKT,5,-18.49591412448883,0.06380707132443786,0.023249969469383357,0.0037072484493255614,1.5810088167199865e-05
PINN Baseline,1,-21.573655158042907,0.09434932265430689,0.025618640134111047,0.3451693988442421,0.032004407631233335
PINN Baseline,2,-21.595641827583314,0.09388088473677635,0.025978188095614314,0.33654421842098237,0.030718173114582897
PINN Baseline,3,-21.442417120933534,0.10000771297514438,0.025314105909317732,0.34416199356317523,0.031907932167872785
PINN Baseline,4,-21.415600193023682,0.09624408748000861,0.025638896953314543,0.3376447867155075,0.030902079137042165
PINN Baseline,5,-21.37495024585724,0.09292872367799282,0.025605884227901696,0.35107983791828157,0.03301497193425894
Rahul's Model,1,8.540618724226952,1.069020014822483,0.11319356171041726,0.002146059036254883,4.645149432690232e-06
Rahul's Model,2,9.399797080278397,0.9600494065880776,0.15524290737509727,0.006255125045776367,3.046581961825723e-05
Rahul's Model,3,7.42286800467968,0.9546271737813949,0.10589461091160775,0.010043289899826049,3.617384266181034e-05
Rahul's Model,4,12.539689821720124,0.7812392020821571,0.09677117650210858,0.01393528139591217,6.544401349674444e-05
Rahul's Model,5,8.962282778382301,0.829081823527813,0.09112653527408839,0.0,0.0
