Metric,Architecture_A,Architecture_B,Mean_A,Mean_B,Difference,p_value,p_adjusted,Significant
Optimality_Gap,Ablated PINN,DC3,-425.1681537902832,54.03340436019897,-479.2015581504822,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,FSNet,-425.1681537902832,52.1545489303589,-477.3227027206421,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,KKT,-425.1681537902832,52.15343285827637,-477.32158664855956,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,PINN Baseline,-425.1681537902832,54.71698217697143,-479.88513596725466,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,Rahul's Model,-425.1681537902832,203.48778955993652,-628.6559433502198,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,FSNet,54.03340436019897,52.1545489303589,1.8788554298400726,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,KKT,54.03340436019897,52.15343285827637,1.8799715019226042,0.1746031746031746,0.6031746031746031,False
Optimality_Gap,DC3,PINN Baseline,54.03340436019897,54.71698217697143,-0.6835778167724555,0.29365079365079366,0.6031746031746031,False
Optimality_Gap,DC3,Rahul's Model,54.03340436019897,203.48778955993652,-149.45438519973754,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,FSNet,KKT,52.1545489303589,52.15343285827637,0.0011160720825316162,1.0,1.0,False
Optimality_Gap,FSNet,PINN Baseline,52.1545489303589,54.71698217697143,-2.562433246612528,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,FSNet,Rahul's Model,52.1545489303589,203.48778955993652,-151.33324062957763,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,KKT,PINN Baseline,52.15343285827637,54.71698217697143,-2.5635493186950598,0.15079365079365079,0.6031746031746031,False
Optimality_Gap,KKT,Rahul's Model,52.15343285827637,203.48778955993652,-151.33435670166014,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,PINN Baseline,Rahul's Model,54.71698217697143,203.48778955993652,-148.77080738296507,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,DC3,1.695349403643608,301.135137890625,-299.4397884869814,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,FSNet,1.695349403643608,311.75371870117186,-310.05836929752826,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,KKT,1.695349403643608,1.7256714809775353,-0.030322077333927222,0.9444444444444444,1.0,False
Max_Eq,Ablated PINN,PINN Baseline,1.695349403643608,1.063869186770916,0.6314802168726921,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,Rahul's Model,1.695349403643608,1.4069358035326005,0.2884136001110076,0.09523809523809523,0.38095238095238093,False
Max_Eq,DC3,FSNet,301.135137890625,311.75371870117186,-10.61858081054686,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,KKT,301.135137890625,1.7256714809775353,299.40946640964745,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,PINN Baseline,301.135137890625,1.063869186770916,300.07126870385406,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,Rahul's Model,301.135137890625,1.4069358035326005,299.7282020870924,0.007936507936507936,0.11904761904761904,False
