Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,14.534882,1.1624115
PINN Baseline,14.232742,1.1532886
PINN Baseline,13.943729,1.1443789
PINN Baseline,13.590565,1.1332375
PINN Baseline,15.238607,1.1829453
PINN Baseline,14.073639,1.1484064
PINN Baseline,13.7275715,1.1375937
PINN Baseline,14.454588,1.1600057
PINN Baseline,15.1094265,1.179248
PINN Baseline,14.432877,1.1593529
PINN Baseline,15.320673,1.1852778
PINN Baseline,14.962191,1.1749952
PINN Baseline,16.791367,1.2250861
PINN Baseline,15.836418,1.199657
PINN Baseline,17.365726,1.2396929
PINN Baseline,15.734028,1.1968399
PINN Baseline,15.1183605,1.1795048
PINN Baseline,15.928314,1.2021698
PINN Baseline,15.095217,1.1788393
PINN Baseline,13.864769,1.1419126
PINN Baseline,14.803495,1.1703643
PINN Baseline,15.550367,1.1917406
PINN Baseline,14.917311,1.1736906
PINN Baseline,13.928408,1.1439015
PINN Baseline,12.897226,1.1104963
PINN Baseline,14.461971,1.1602275
PINN Baseline,14.163345,1.1511658
PINN Baseline,14.338387,1.1565003
PINN Baseline,13.967756,1.1451267
PINN Baseline,14.751356,1.168832
PINN Baseline,14.605389,1.1645131
PINN Baseline,16.204924,1.2096469
PINN Baseline,13.312418,1.124257
PINN Baseline,13.48773,1.1299388
PINN Baseline,16.530277,1.2182802
PINN Baseline,13.082411,1.1166878
PINN Baseline,14.498516,1.1613235
PINN Baseline,15.436907,1.1885602
PINN Baseline,14.953096,1.1747311
PINN Baseline,15.285408,1.184277
PINN Baseline,15.587479,1.1927758
PINN Baseline,15.814045,1.1990429
PINN Baseline,14.3458805,1.1567272
PINN Baseline,15.930252,1.2022227
PINN Baseline,15.569914,1.1922863
PINN Baseline,14.318056,1.155884
PINN Baseline,14.698656,1.1672776
PINN Baseline,14.545708,1.1627349
PINN Baseline,14.639563,1.165528
PINN Baseline,14.621529,1.1649928
PINN Baseline,13.322784,1.124595
PINN Baseline,14.594873,1.1642003
PINN Baseline,14.9743,1.1753465
PINN Baseline,13.406767,1.1273241
PINN Baseline,14.047205,1.1475899
PINN Baseline,14.536629,1.1624637
PINN Baseline,14.487162,1.1609833
PINN Baseline,14.567623,1.1633887
PINN Baseline,14.316799,1.1558459
PINN Baseline,14.2902565,1.15504
PINN Baseline,14.02681,1.146959
PINN Baseline,15.204851,1.1819822
PINN Baseline,14.531248,1.162303
PINN Baseline,14.46538,1.1603298
PINN Baseline,14.885572,1.1727655
PINN Baseline,15.998117,1.2040689
PINN Baseline,15.664196,1.1949081
PINN Baseline,15.412758,1.1878804
PINN Baseline,14.001064,1.1461611
PINN Baseline,16.675903,1.2220894
PINN Baseline,14.138956,1.1504173
PINN Baseline,15.524065,1.1910055
PINN Baseline,14.884529,1.1727351
PINN Baseline,15.558434,1.1919658
PINN Baseline,13.990599,1.1458364
PINN Baseline,14.178547,1.1516317
PINN Baseline,14.752642,1.1688699
PINN Baseline,14.594223,1.164181
PINN Baseline,14.228083,1.1531464
PINN Baseline,15.275558,1.1839972
PINN Baseline,15.799503,1.1986434
PINN Baseline,15.025572,1.176831
PINN Baseline,14.544088,1.1626865
PINN Baseline,15.425634,1.188243
PINN Baseline,14.164114,1.1511894
PINN Baseline,15.621006,1.193709
PINN Baseline,17.211637,1.2358222
PINN Baseline,15.028965,1.1769291
PINN Baseline,15.134808,1.1799769
PINN Baseline,14.527712,1.1621972
PINN Baseline,15.459402,1.1891927
PINN Baseline,16.560139,1.219064
PINN Baseline,13.804905,1.1400334
PINN Baseline,14.489368,1.1610495
PINN Baseline,14.569496,1.1634445
PINN Baseline,16.119692,1.2073567
PINN Baseline,15.508812,1.1905786
PINN Baseline,15.045332,1.1774018
PINN Baseline,15.039255,1.1772263
PINN Baseline,15.406771,1.1877116
PINN Baseline,14.649605,1.165826
PINN Baseline,15.796785,1.1985687
PINN Baseline,16.03356,1.20503
PINN Baseline,14.205294,1.1524502
PINN Baseline,14.098288,1.1491663
PINN Baseline,16.279825,1.2116498
PINN Baseline,13.8682575,1.1420219
PINN Baseline,14.716436,1.1678027
PINN Baseline,15.161062,1.1807296
PINN Baseline,15.250271,1.1832776
PINN Baseline,14.496468,1.1612622
PINN Baseline,15.60145,1.193165
PINN Baseline,14.945265,1.1745036
PINN Baseline,14.984371,1.1756386
PINN Baseline,14.111706,1.1495795
PINN Baseline,16.04335,1.2052951
PINN Baseline,15.3292885,1.185522
PINN Baseline,15.004938,1.1762342
PINN Baseline,14.916931,1.1736795
PINN Baseline,16.254158,1.2109644
PINN Baseline,13.814634,1.1403394
PINN Baseline,14.834541,1.1712741
PINN Baseline,13.949711,1.1445652
PINN Baseline,16.072435,1.2060816
PINN Baseline,14.252707,1.1538973
PINN Baseline,14.269094,1.1543964
PINN Baseline,15.558714,1.1919737
PINN Baseline,15.654589,1.1946417
PINN Baseline,14.711126,1.1676459
PINN Baseline,13.939699,1.1442534
PINN Baseline,15.291645,1.1844542
PINN Baseline,15.459753,1.1892025
PINN Baseline,15.7619915,1.1976111
PINN Baseline,17.47878,1.2425112
PINN Baseline,15.642563,1.1943079
PINN Baseline,15.910929,1.2016956
PINN Baseline,14.523563,1.1620731
PINN Baseline,14.92407,1.1738873
PINN Baseline,13.496679,1.130227
PINN Baseline,15.747274,1.1972054
PINN Baseline,15.077364,1.1783254
PINN Baseline,14.041033,1.1473991
PINN Baseline,13.203054,1.1206744
PINN Baseline,15.169361,1.1809673
PINN Baseline,14.615202,1.1648048
PINN Baseline,14.671539,1.1664757
PINN Baseline,14.72583,1.1680797
PINN Baseline,14.817896,1.1707865
PINN Baseline,13.428204,1.1280179
PINN Baseline,13.782053,1.1393139
PINN Baseline,15.8231945,1.1992942
PINN Baseline,15.295868,1.1845741
PINN Baseline,15.783091,1.198192
PINN Baseline,15.092203,1.1787527
PINN Baseline,16.522253,1.2180693
PINN Baseline,14.533976,1.1623844
PINN Baseline,14.369196,1.1574324
PINN Baseline,14.958189,1.1748791
PINN Baseline,16.733082,1.223576
PINN Baseline,14.158234,1.1510091
PINN Baseline,14.409586,1.1586515
PINN Baseline,14.592144,1.1641191
PINN Baseline,14.105806,1.149398
