Architecture,Run,Instance_ID,Success,Status,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup,Feasible_Cost,Feasible_Obj_Gap_pct,Bus
PINN Baseline,1,0,True,optimal,0.0001566621474921,0.7402342734858394,0.7403909356333316,0.8624626882374287,567561.9352651576,1.1648747259441754,567561.9352651433,-2.522911367906181e-12,300
PINN Baseline,1,1,True,optimal,0.0001566621474921,0.7729696128517389,0.7731262749992311,0.7501919958740473,565575.7274304413,0.9703356620169108,565575.7274304503,1.5849300714158454e-12,300
PINN Baseline,1,2,True,optimal,0.0001566621474921,0.7829183051362634,0.7830749672837556,0.8013200704008341,573661.5757789199,1.0232993057872417,573661.5757804982,2.751376421170409e-10,300
PINN Baseline,1,3,True,optimal,0.0001566621474921,0.7177454978227615,0.7179021599702538,0.7467558914795518,564083.0044061894,1.0401917324089032,564083.004406314,2.208263560182057e-11,300
PINN Baseline,1,4,True,optimal,0.0001566621474921,0.7554534841328859,0.7556101462803781,0.7907146736979485,567358.7692752682,1.046458517782455,567358.7692753264,1.0259409753694406e-11,300
PINN Baseline,1,5,True,optimal,0.0001566621474921,0.7671086890622973,0.7672653512097896,0.800424512475729,563657.7435673319,1.0432173318052946,563657.7435673359,7.022206271957239e-13,300
PINN Baseline,1,6,True,optimal,0.0001566621474921,0.7353699570521712,0.7355266191996634,0.7725797602906823,562548.7180322859,1.0503763427778274,562548.7180323069,3.72496767962515e-12,300
PINN Baseline,1,7,True,optimal,0.0001566621474921,0.73898312356323,0.7391397857107223,0.7309494754299521,562322.854933904,0.988919132159968,562322.8549339278,4.223325700586392e-12,300
PINN Baseline,1,8,True,optimal,0.0001566621474921,0.784849539399147,0.7850062015466392,0.7627084571868181,574072.7211224085,0.9715954545124744,574072.7211003063,-3.850080824757311e-09,300
PINN Baseline,1,9,True,optimal,0.0001566621474921,0.7429214315488935,0.7430780936963857,0.6822282578796148,562747.6041848857,0.9181111160011756,562747.6041849016,2.813425352809057e-12,300
PINN Baseline,2,0,True,optimal,9.04507003724575e-05,0.7464838083833456,0.7465742590837181,0.8624626882374287,567561.9352651576,1.155226928525425,567561.9352651598,3.897180161806296e-13,300
PINN Baseline,2,1,True,optimal,9.04507003724575e-05,0.7248428594321012,0.7249333101324738,0.7501919958740473,565575.7274304413,1.034842771588131,565575.7274304583,3.005192083463811e-12,300
PINN Baseline,2,2,True,optimal,9.04507003724575e-05,0.6824553599581122,0.6825458106584847,0.8013200704008341,573661.5757789199,1.1740165390917308,573661.5757789162,-6.290947710302603e-13,300
PINN Baseline,2,3,True,optimal,9.04507003724575e-05,0.6328535862267017,0.6329440369270742,0.7467558914795518,564083.0044061894,1.1798134557125002,564083.0044062047,2.703575012933172e-12,300
PINN Baseline,2,4,True,optimal,9.04507003724575e-05,0.6685217870399356,0.6686122377403081,0.7907146736979485,567358.7692752682,1.1826207016047252,567358.7692752826,2.544333618916213e-12,300
