Metric,Architecture_A,Architecture_B,Mean_A,Mean_B,Difference,p_value,p_adjusted,Significant
Optimality_Gap,Ablated PINN,DC3,-46.79956371841431,-32.09843495140076,-14.70112876701355,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,FSNet,-46.79956371841431,-34.43080838165283,-12.368755336761481,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,KKT,-46.79956371841431,-34.49155906906128,-12.30800464935303,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,PINN Baseline,-46.79956371841431,-39.165610668182374,-7.633953050231938,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,Ablated PINN,Rahul's Model,-46.79956371841431,-7.566517973518371,-39.23304574489594,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,FSNet,-32.09843495140076,-34.43080838165283,2.332373430252069,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,KKT,-32.09843495140076,-34.49155906906128,2.39312411766052,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,PINN Baseline,-32.09843495140076,-39.165610668182374,7.0671757167816125,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,DC3,Rahul's Model,-32.09843495140076,-7.566517973518371,-24.53191697788239,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,FSNet,KKT,-34.43080838165283,-34.49155906906128,0.06075068740845069,0.7619047619047619,0.7619047619047619,False
Optimality_Gap,FSNet,PINN Baseline,-34.43080838165283,-39.165610668182374,4.734802286529543,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,FSNet,Rahul's Model,-34.43080838165283,-7.566517973518371,-26.86429040813446,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,KKT,PINN Baseline,-34.49155906906128,-39.165610668182374,4.674051599121093,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,KKT,Rahul's Model,-34.49155906906128,-7.566517973518371,-26.92504109554291,0.007936507936507936,0.11904761904761904,False
Optimality_Gap,PINN Baseline,Rahul's Model,-39.165610668182374,-7.566517973518371,-31.599092694664,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,DC3,0.5375611290693284,84.65827844085693,-84.1207173117876,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,FSNet,0.5375611290693284,83.11746937561036,-82.57990824654102,0.007936507936507936,0.11904761904761904,False
Max_Eq,Ablated PINN,KKT,0.5375611290693284,0.3031922326833009,0.23436889638602748,0.015873015873015872,0.11904761904761904,False
Max_Eq,Ablated PINN,PINN Baseline,0.5375611290693284,0.47498732222914697,0.06257380684018143,0.42857142857142855,0.42857142857142855,False
Max_Eq,Ablated PINN,Rahul's Model,0.5375611290693284,0.736379844558239,-0.1988187154889106,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,FSNet,84.65827844085693,83.11746937561036,1.5408090652465773,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,KKT,84.65827844085693,0.3031922326833009,84.35508620817363,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,PINN Baseline,84.65827844085693,0.47498732222914697,84.18329111862778,0.007936507936507936,0.11904761904761904,False
Max_Eq,DC3,Rahul's Model,84.65827844085693,0.736379844558239,83.92189859629869,0.007936507936507936,0.11904761904761904,False
Max_Eq,FSNet,KKT,83.11746937561036,0.3031922326833009,82.81427714292705,0.007936507936507936,0.11904761904761904,False
Max_Eq,FSNet,PINN Baseline,83.11746937561036,0.47498732222914697,82.6424820533812,0.007936507936507936,0.11904761904761904,False
Max_Eq,FSNet,Rahul's Model,83.11746937561036,0.736379844558239,82.38108953105211,0.007936507936507936,0.11904761904761904,False
Max_Eq,KKT,PINN Baseline,0.3031922326833009,0.47498732222914697,-0.17179508954584605,0.031746031746031744,0.11904761904761904,False
Max_Eq,KKT,Rahul's Model,0.3031922326833009,0.736379844558239,-0.4331876118749381,0.007936507936507936,0.11904761904761904,False
Max_Eq,PINN Baseline,Rahul's Model,0.47498732222914697,0.736379844558239,-0.26139252232909205,0.023809523809523808,0.11904761904761904,False
Mean_Eq,Ablated PINN,DC3,0.09656288195252419,4.740975849056244,-4.64441296710372,0.007936507936507936,0.11904761904761904,False
Mean_Eq,Ablated PINN,FSNet,0.09656288195252419,4.703836288070678,-4.607273406118154,0.007936507936507936,0.11904761904761904,False
Mean_Eq,Ablated PINN,KKT,0.09656288195252419,0.05051281598508358,0.04605006596744061,0.007936507936507936,0.11904761904761904,False
Mean_Eq,Ablated PINN,PINN Baseline,0.09656288195252419,0.12561376264691354,-0.029050880694389353,0.07936507936507936,0.11904761904761904,False
Mean_Eq,Ablated PINN,Rahul's Model,0.09656288195252419,0.04282158842235804,0.05374129353016615,0.007936507936507936,0.11904761904761904,False
Mean_Eq,DC3,FSNet,4.740975849056244,4.703836288070678,0.03713956098556537,0.015873015873015872,0.11904761904761904,False
Mean_Eq,DC3,KKT,4.740975849056244,0.05051281598508358,4.69046303307116,0.007936507936507936,0.11904761904761904,False
Mean_Eq,DC3,PINN Baseline,4.740975849056244,0.12561376264691354,4.6153620864093305,0.007936507936507936,0.11904761904761904,False
Mean_Eq,DC3,Rahul's Model,4.740975849056244,0.04282158842235804,4.698154260633886,0.007936507936507936,0.11904761904761904,False
Mean_Eq,FSNet,KKT,4.703836288070678,0.05051281598508358,4.653323472085595,0.007936507936507936,0.11904761904761904,False
Mean_Eq,FSNet,PINN Baseline,4.703836288070678,0.12561376264691354,4.578222525423765,0.007936507936507936,0.11904761904761904,False
Mean_Eq,FSNet,Rahul's Model,4.703836288070678,0.04282158842235804,4.66101469964832,0.007936507936507936,0.11904761904761904,False
