,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,0.0007759599997370969,0.0002222607439151309,0.11164578000025357,0.01013504206295688,0.11242173999999068,0.010195451371325813,0.10120654106140137,0.0,0.9063756069134385,0.08468109425632547,4.679706492650174,8.667025601779689e-10
FSNet,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,0.0006909399999130983,0.0002088966926674154,0.09725319999997736,0.009395558515008527,0.09794413999989046,0.009458374696055975,0.10120654106140137,0.0,1.041012708959141,0.09987808754817488,4.679706492843531,1.4037544564492617e-09
KKT,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,0.0008459999997285194,0.0003129599567869634,0.09929073999956017,0.0045678329793002945,0.1001367399992887,0.004559088249456649,0.10120654106140137,0.0,1.0123607732072404,0.04607318751155057,4.6797064913709026,4.2595009455187705e-10
PINN Baseline,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,0.00818741999901249,0.0169168336832663,0.10536260000080802,0.009200515980099572,0.1135500199998205,0.016335227150341115,0.10120654106140137,0.0,0.9053032724027471,0.12236562058125201,4.679706488346728,9.726499687931836e-09
Rahul's Model,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,0.0012332400001469068,0.0006106421553244674,0.10059970000074828,0.008030250247493015,0.10183294000089518,0.008375797332474715,0.10120654106140137,0.0,0.9994899511753207,0.0858285622618686,4.679706478630853,3.133772793055688e-09
