Architecture,Metric,Bootstrap_Mean,CI95_Low,CI95_High
PINN Baseline,Optimality_Gap,-39.158931467856604,-41.41798732753754,-37.28563441337585
PINN Baseline,Max_Eq,0.4748123512425959,0.38523449779391294,0.581128919556588
PINN Baseline,Mean_Eq,0.1253875856000468,0.10412615323130042,0.15296015208594496
PINN Baseline,Max_Ineq,16.414360098376466,13.989162011194228,19.505781767978668
PINN Baseline,Mean_Ineq,0.09313055914635958,0.08229599262088537,0.10510163114361463
DC3,Optimality_Gap,-32.09876750880013,-32.17322227277756,-32.01910632885933
DC3,Max_Eq,84.64937156071015,84.30790556118012,85.08277885169983
DC3,Mean_Eq,4.740961356654359,4.725846228489877,4.753012746167183
DC3,Max_Ineq,7229.5589341661125,7168.934032016601,7314.080914501953
DC3,Mean_Ineq,19.835598589585114,19.68935227046967,19.979846999397278
FSNet,Optimality_Gap,-34.43002070761795,-34.48444734793664,-34.369853091449734
FSNet,Max_Eq,83.10254859974212,82.04732318256377,83.89028175849914
FSNet,Mean_Eq,4.703608345590115,4.694641640243531,4.712432195241451
FSNet,Max_Ineq,6953.4695283406245,6790.310557224121,7073.798008115234
FSNet,Mean_Ineq,19.02409850757866,18.88291943488121,19.142696981935504
KKT,Optimality_Gap,-34.493873631841275,-34.771726055583954,-34.28367216791153
KKT,Max_Eq,0.3033844210908621,0.26062625775419174,0.3621645465568453
KKT,Mean_Eq,0.05050969019392803,0.04912715986531228,0.052139194623380895
KKT,Max_Ineq,0.42115467865090367,0.2366347705322504,0.5963765178614855
KKT,Mean_Ineq,0.0005194883677966789,0.00032091332509338953,0.0007218411490866857
Rahul's Model,Optimality_Gap,-7.549121855844117,-8.31206050273657,-6.785329382865429
Rahul's Model,Max_Eq,0.7368540776376008,0.6415252842569351,0.8880173503506184
Rahul's Model,Mean_Eq,0.042822161891432106,0.041733018099423494,0.04396668923392892
Rahul's Model,Max_Ineq,0.06491100053758621,0.04575468510061502,0.08575210441231727
Rahul's Model,Mean_Ineq,7.737253436844076e-05,5.206491288457983e-05,0.00010404177101041113
Ablated PINN,Optimality_Gap,-46.81751909321366,-48.33143717758179,-44.98630826120377
Ablated PINN,Max_Eq,0.5389249743559481,0.4588432273589074,0.587005419317484
Ablated PINN,Mean_Eq,0.09643029185744673,0.08721975413136185,0.10666179245620967
Ablated PINN,Max_Ineq,16.146006803697965,15.33537674495697,17.36246953204155
Ablated PINN,Mean_Ineq,0.15030387191325126,0.14401255926907064,0.15643412271037696
