Instance_ID,Cold_IPOPT_Status,Cold_IPOPT_Success,Cold_IPOPT_Time_s,Cold_IPOPT_Cost
370,optimal,True,0.8105795439332724,571048.3479921694
371,optimal,True,0.8248541401699185,559272.4126476379
372,optimal,True,0.8647465109825134,570754.71401848
373,optimal,True,0.832837900146842,559100.9060562706
374,optimal,True,0.879345590248704,571117.8689168523
375,optimal,True,0.9397510504350066,564674.5920701992
376,optimal,True,0.9041217565536499,567822.8069107374
377,optimal,True,0.8541412772610784,561814.9612769663
378,optimal,True,0.8562305858358741,562944.223378221
379,optimal,True,0.8537409342825413,564540.1132730743
