,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
Ablated PINN,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,7.252097595483065e-05,1.5362718760097877e-05,0.523656117869541,0.03433828797273238,0.5237286388454958,0.03432780781602057,1.1928807900010725,0.0,2.2980746722719205,0.14428575375171881,6.529382272033796e-08,4.264580106440802e-13
