Architecture,Run,Raw_Max_Violation,Log_Max_Violation
Ablated PINN,Run 1,16.069962,1.2059058
Ablated PINN,Run 2,15.596376,1.1926239
Ablated PINN,Run 3,15.22148,1.1820679
Ablated PINN,Run 4,18.463766,1.2655853
Ablated PINN,Run 5,15.3356695,1.1854014
DC3,Run 1,7397.844,3.8690922
DC3,Run 2,7146.787,3.8540897
DC3,Run 3,7202.2964,3.8574407
DC3,Run 4,7230.859,3.8591826
DC3,Run 5,7175.8247,3.8558247
FSNet,Run 1,7044.419,3.847778
FSNet,Run 2,6934.7593,3.8409817
FSNet,Run 3,6653.134,3.8230138
FSNet,Run 4,7129.1196,3.853003
FSNet,Run 5,7018.4697,3.846159
KKT,Run 1,0.25411916,-0.6051651
KKT,Run 2,0.6792765,-0.16921745
KKT,Run 3,0.4443141,-0.35402355
KKT,Run 4,0.30097324,-0.53448844
KKT,Run 5,0.61934054,-0.21053062
PINN Baseline,Run 1,14.842375,1.1707754
PINN Baseline,Run 2,12.701176,1.1033643
PINN Baseline,Run 3,18.219301,1.2605059
PINN Baseline,Run 4,14.880786,1.1719906
PINN Baseline,Run 5,21.487654,1.3317809
Rahul's Model,Run 1,0.6064837,-0.2240184
Rahul's Model,Run 2,1.0301749,0.011898504
Rahul's Model,Run 3,0.6866113,-0.16852568
Rahul's Model,Run 4,0.65052426,-0.19512604
Rahul's Model,Run 5,0.7081052,-0.15333039
