Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,1.5589232,0.19282474
PINN Baseline,1.4815892,0.1707278
PINN Baseline,1.4847981,0.1716674
PINN Baseline,1.5350598,0.18612531
PINN Baseline,1.5256252,0.18344787
PINN Baseline,1.4310353,0.15565035
PINN Baseline,1.5380255,0.18696353
PINN Baseline,1.4770721,0.1694017
PINN Baseline,1.4996866,0.1760005
PINN Baseline,1.508147,0.17844367
PINN Baseline,1.4971548,0.17526671
PINN Baseline,1.5310526,0.18499011
PINN Baseline,1.4993265,0.17589621
PINN Baseline,1.471773,0.16784084
PINN Baseline,1.4311931,0.15569824
PINN Baseline,1.4647994,0.16577816
PINN Baseline,1.4369868,0.15745278
PINN Baseline,1.4942282,0.17441694
PINN Baseline,1.5417025,0.18800057
PINN Baseline,1.4704223,0.16744207
PINN Baseline,1.5161374,0.18073855
PINN Baseline,1.5351375,0.18614729
PINN Baseline,1.5067806,0.17805003
PINN Baseline,1.5156165,0.18058933
PINN Baseline,1.5433308,0.18845902
PINN Baseline,1.493041,0.17407174
PINN Baseline,1.5392252,0.18730217
PINN Baseline,1.5177541,0.18120141
PINN Baseline,1.4834714,0.17127918
PINN Baseline,1.4894259,0.1730189
PINN Baseline,1.5480658,0.18978941
PINN Baseline,1.4774785,0.16952117
PINN Baseline,1.5043888,0.17736009
PINN Baseline,1.567518,0.19521253
PINN Baseline,1.482335,0.17094636
PINN Baseline,1.4883468,0.17270415
PINN Baseline,1.4935702,0.17422564
PINN Baseline,1.5179054,0.18124469
PINN Baseline,1.4584985,0.16390598
PINN Baseline,1.5765483,0.1977073
PINN Baseline,1.5406299,0.1876983
PINN Baseline,1.4445454,0.1597312
PINN Baseline,1.3942964,0.1443551
PINN Baseline,1.4643016,0.16563053
PINN Baseline,1.4859592,0.17200688
PINN Baseline,1.5718637,0.19641487
PINN Baseline,1.5473524,0.18958925
PINN Baseline,1.4996833,0.17599954
PINN Baseline,1.5549772,0.19172402
PINN Baseline,1.5612738,0.19347908
PINN Baseline,1.5264007,0.18366855
PINN Baseline,1.4899875,0.17318262
