Architecture,Run,Raw_Max_Violation,Log_Max_Violation
DC3,Run 1,935.14136,2.9708652
DC3,Run 2,929.5084,2.96824
DC3,Run 3,927.1562,2.9671404
DC3,Run 4,930.66644,2.9687812
DC3,Run 5,922.75604,2.965072
FSNet,Run 1,938.52924,2.9724138
FSNet,Run 2,942.3364,2.9741774
FSNet,Run 3,949.3454,2.9773939
FSNet,Run 4,932.18225,2.9694686
FSNet,Run 5,939.2884,2.9727666
KKT,Run 1,0.060729988,-1.2168139
KKT,Run 2,0.065292604,-1.1855536
KKT,Run 3,0.06389519,-1.1947713
KKT,Run 4,0.06355302,-1.1970599
KKT,Run 5,0.06380707,-1.1954042
PINN Baseline,Run 1,0.3451694,-0.46217942
PINN Baseline,Run 2,0.33654422,-0.47312105
PINN Baseline,Run 3,0.344162,-0.46338913
PINN Baseline,Run 4,0.3376448,-0.4717646
PINN Baseline,Run 5,0.35107982,-0.45476043
Rahul's Model,Run 1,1.06902,0.028392175
Rahul's Model,Run 2,0.9600494,-0.017797846
Rahul's Model,Run 3,0.9546272,-0.020933617
Rahul's Model,Run 4,0.7812392,-0.10750406
Rahul's Model,Run 5,0.82908183,-0.081521034
