Job: acopf_ISS
Executing: ACOPF_DC3.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 243.2709 | Val Cost: 30090.77 | Val Max P-Miss: 1.0253 | Val Max Q-Miss: 1.4136 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 18.6458 | Val Cost: 30306.37 | Val Max P-Miss: 0.2104 | Val Max Q-Miss: 0.1709 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 17.5365 | Val Cost: 29988.73 | Val Max P-Miss: 0.1933 | Val Max Q-Miss: 0.1745 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 17.1920 | Val Cost: 29907.16 | Val Max P-Miss: 0.1442 | Val Max Q-Miss: 0.1666 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 17.1225 | Val Cost: 29689.38 | Val Max P-Miss: 0.1460 | Val Max Q-Miss: 0.1282 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 16.9718 | Val Cost: 29847.96 | Val Max P-Miss: 0.1033 | Val Max Q-Miss: 0.0964 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  600 | Val Loss: 16.9202 | Val Cost: 29722.70 | Val Max P-Miss: 0.1204 | Val Max Q-Miss: 0.0868 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  700 | Val Loss: 16.9411 | Val Cost: 29631.36 | Val Max P-Miss: 0.1055 | Val Max Q-Miss: 0.0845 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 16.8514 | Val Cost: 29548.34 | Val Max P-Miss: 0.1305 | Val Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  900 | Val Loss: 16.8762 | Val Cost: 29588.82 | Val Max P-Miss: 0.1046 | Val Max Q-Miss: 0.0759 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1000 | Val Loss: 16.8127 | Val Cost: 29424.59 | Val Max P-Miss: 0.1247 | Val Max Q-Miss: 0.0606 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1100 | Val Loss: 16.8467 | Val Cost: 29462.83 | Val Max P-Miss: 0.1011 | Val Max Q-Miss: 0.0529 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1200 | Val Loss: 16.9418 | Val Cost: 29393.41 | Val Max P-Miss: 0.1249 | Val Max Q-Miss: 0.0739 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 16.7931 | Val Cost: 29479.10 | Val Max P-Miss: 0.0939 | Val Max Q-Miss: 0.0502 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1400 | Val Loss: 16.7433 | Val Cost: 29464.22 | Val Max P-Miss: 0.0975 | Val Max Q-Miss: 0.0494 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1500 | Val Loss: 16.7747 | Val Cost: 29448.40 | Val Max P-Miss: 0.1029 | Val Max Q-Miss: 0.0645 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1600 | Val Loss: 16.7878 | Val Cost: 29657.42 | Val Max P-Miss: 0.0742 | Val Max Q-Miss: 0.0477 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1700 | Val Loss: 16.8098 | Val Cost: 29759.74 | Val Max P-Miss: 0.0873 | Val Max Q-Miss: 0.0465 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1800 | Val Loss: 16.7762 | Val Cost: 29438.17 | Val Max P-Miss: 0.1020 | Val Max Q-Miss: 0.0483 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1900 | Val Loss: 16.7751 | Val Cost: 29563.48 | Val Max P-Miss: 0.0972 | Val Max Q-Miss: 0.0592 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2000 | Val Loss: 16.7684 | Val Cost: 29603.88 | Val Max P-Miss: 0.0877 | Val Max Q-Miss: 0.0390 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2100 | Val Loss: 16.7882 | Val Cost: 29525.32 | Val Max P-Miss: 0.0883 | Val Max Q-Miss: 0.0541 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2200 | Val Loss: 16.7709 | Val Cost: 29599.21 | Val Max P-Miss: 0.0766 | Val Max Q-Miss: 0.0432 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2300 | Val Loss: 16.7323 | Val Cost: 29526.36 | Val Max P-Miss: 0.0758 | Val Max Q-Miss: 0.0422 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2400 | Val Loss: 16.7531 | Val Cost: 29519.31 | Val Max P-Miss: 0.0942 | Val Max Q-Miss: 0.0387 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2500 | Val Loss: 16.7561 | Val Cost: 29566.91 | Val Max P-Miss: 0.0808 | Val Max Q-Miss: 0.0285 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2600 | Val Loss: 16.7899 | Val Cost: 29617.36 | Val Max P-Miss: 0.0859 | Val Max Q-Miss: 0.0292 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2700 | Val Loss: 16.7321 | Val Cost: 29455.30 | Val Max P-Miss: 0.0821 | Val Max Q-Miss: 0.0305 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2800 | Val Loss: 16.7584 | Val Cost: 29400.88 | Val Max P-Miss: 0.0856 | Val Max Q-Miss: 0.0308 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2900 | Val Loss: 16.7502 | Val Cost: 29620.41 | Val Max P-Miss: 0.0875 | Val Max Q-Miss: 0.0321 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3000 | Val Loss: 16.7698 | Val Cost: 29557.40 | Val Max P-Miss: 0.0852 | Val Max Q-Miss: 0.0293 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3100 | Val Loss: 16.7497 | Val Cost: 29401.77 | Val Max P-Miss: 0.1020 | Val Max Q-Miss: 0.0416 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
