Job: acopf_ISS
Executing: ACOPF_pinn_rahul.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 120622.2344 | Val Cost:  896.02 | Val Max P-Miss: 0.3764 | Val Max Q-Miss: 0.3052 | Val Max Gen Viol: 0.9636 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 111226.9531 | Val Cost: 1236.98 | Val Max P-Miss: 1.9386 | Val Max Q-Miss: 3.1142 | Val Max Gen Viol: 9.4279 | Val Max Thermal: 13.7732 [*SAVED BEST*]
Epoch   20 | Val Loss: 102375.2344 | Val Cost:  655.64 | Val Max P-Miss: 1.8861 | Val Max Q-Miss: 5.1700 | Val Max Gen Viol: 3.3566 | Val Max Thermal: 5.8991 [*SAVED BEST*]
Epoch   30 | Val Loss: 96947.4375 | Val Cost:  661.89 | Val Max P-Miss: 2.4843 | Val Max Q-Miss: 3.7521 | Val Max Gen Viol: 1.0843 | Val Max Thermal: 1.6534 [*SAVED BEST*]
Epoch   40 | Val Loss: 98412.0078 | Val Cost:  386.56 | Val Max P-Miss: 3.6726 | Val Max Q-Miss: 9.2876 | Val Max Gen Viol: 1.9059 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 85974.8594 | Val Cost:  349.66 | Val Max P-Miss: 3.0167 | Val Max Q-Miss: 3.5185 | Val Max Gen Viol: 6.1462 | Val Max Thermal: 6.9729 [*SAVED BEST*]
Epoch   60 | Val Loss: 111947.5469 | Val Cost:  662.36 | Val Max P-Miss: 4.3117 | Val Max Q-Miss: 11.6605 | Val Max Gen Viol: 1.5187 | Val Max Thermal: 128.4289
Epoch   70 | Val Loss: 285117.3750 | Val Cost: -1730.36 | Val Max P-Miss: 20.1864 | Val Max Q-Miss: 34.9899 | Val Max Gen Viol: 4.9978 | Val Max Thermal: 608.5330
Epoch   80 | Val Loss: 75665.5938 | Val Cost: -103.72 | Val Max P-Miss: 4.6007 | Val Max Q-Miss: 7.1080 | Val Max Gen Viol: 1.6295 | Val Max Thermal: 11.0039 [*SAVED BEST*]
Epoch   90 | Val Loss: 83101.6484 | Val Cost: 1919.51 | Val Max P-Miss: 1.8404 | Val Max Q-Miss: 3.7555 | Val Max Gen Viol: 1.3018 | Val Max Thermal: 8.8089
Epoch  100 | Val Loss: 68387.9531 | Val Cost:  627.09 | Val Max P-Miss: 2.7316 | Val Max Q-Miss: 6.4767 | Val Max Gen Viol: 2.3318 | Val Max Thermal: 5.2614 [*SAVED BEST*]
Epoch  110 | Val Loss: 57903.4531 | Val Cost: -158.46 | Val Max P-Miss: 1.1900 | Val Max Q-Miss: 3.0638 | Val Max Gen Viol: 2.9043 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  120 | Val Loss: 92514.6953 | Val Cost:  756.77 | Val Max P-Miss: 10.7177 | Val Max Q-Miss: 17.6056 | Val Max Gen Viol: 3.1617 | Val Max Thermal: 86.4722
Epoch  130 | Val Loss: 56682.4531 | Val Cost: -1338.68 | Val Max P-Miss: 2.2184 | Val Max Q-Miss: 3.3257 | Val Max Gen Viol: 1.3364 | Val Max Thermal: 1.0580 [*SAVED BEST*]
Epoch  140 | Val Loss: 38982.1016 | Val Cost: -800.07 | Val Max P-Miss: 0.7483 | Val Max Q-Miss: 0.4108 | Val Max Gen Viol: 0.3713 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  150 | Val Loss: 49114.8203 | Val Cost: -1017.77 | Val Max P-Miss: 3.0029 | Val Max Q-Miss: 3.6852 | Val Max Gen Viol: 0.4466 | Val Max Thermal: 2.2671
Epoch  160 | Val Loss: 53845.7578 | Val Cost:  -18.20 | Val Max P-Miss: 1.5855 | Val Max Q-Miss: 4.4113 | Val Max Gen Viol: 2.1235 | Val Max Thermal: 0.0000
Epoch  170 | Val Loss: 62579.4531 | Val Cost:  363.18 | Val Max P-Miss: 3.4168 | Val Max Q-Miss: 13.5929 | Val Max Gen Viol: 0.9068 | Val Max Thermal: 52.8531
Epoch  180 | Val Loss: 60050.5938 | Val Cost:  153.31 | Val Max P-Miss: 3.7435 | Val Max Q-Miss: 8.6030 | Val Max Gen Viol: 1.7983 | Val Max Thermal: 27.2972
Epoch  190 | Val Loss: 36282.3008 | Val Cost:  756.86 | Val Max P-Miss: 2.1027 | Val Max Q-Miss: 3.4510 | Val Max Gen Viol: 1.2463 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 49442.2500 | Val Cost:  195.46 | Val Max P-Miss: 6.4292 | Val Max Q-Miss: 12.3984 | Val Max Gen Viol: 2.2333 | Val Max Thermal: 28.4769
Epoch  210 | Val Loss: 41312.9062 | Val Cost:  768.29 | Val Max P-Miss: 3.0193 | Val Max Q-Miss: 4.4853 | Val Max Gen Viol: 2.7980 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 28124.7598 | Val Cost:  698.90 | Val Max P-Miss: 1.1213 | Val Max Q-Miss: 0.3122 | Val Max Gen Viol: 0.0854 | Val Max Thermal: 0.0000 [*SAVED BEST*]
