Job: acopf_ISS
Executing: ACOPF_pinn_rahul.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 246.5238 | Val Cost: 30198.13 | Val Max P-Miss: 1.1271 | Val Max Q-Miss: 1.3745 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 48.1142 | Val Cost: 40743.39 | Val Max P-Miss: 0.7124 | Val Max Q-Miss: 0.1810 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 328.1974 | Val Cost: 35359.83 | Val Max P-Miss: 2.7622 | Val Max Q-Miss: 0.6247 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 992.0265 | Val Cost: 28492.43 | Val Max P-Miss: 1.1017 | Val Max Q-Miss: 0.6718 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 791.1277 | Val Cost: 26623.99 | Val Max P-Miss: 0.7880 | Val Max Q-Miss: 0.6059 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 1801.5863 | Val Cost: 27712.96 | Val Max P-Miss: 1.0997 | Val Max Q-Miss: 1.2205 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 651.0152 | Val Cost: 27452.89 | Val Max P-Miss: 1.0721 | Val Max Q-Miss: 0.8800 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  700 | Val Loss: 950.3323 | Val Cost: 27973.71 | Val Max P-Miss: 1.2059 | Val Max Q-Miss: 1.2855 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 1020.1694 | Val Cost: 28012.48 | Val Max P-Miss: 1.5035 | Val Max Q-Miss: 1.6777 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 968.9988 | Val Cost: 28049.23 | Val Max P-Miss: 1.4967 | Val Max Q-Miss: 1.6752 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1000 | Val Loss: 974.4727 | Val Cost: 28089.39 | Val Max P-Miss: 1.6358 | Val Max Q-Miss: 1.6675 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1100 | Val Loss: 892.0482 | Val Cost: 27988.93 | Val Max P-Miss: 1.3436 | Val Max Q-Miss: 1.2986 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1200 | Val Loss: 895.3011 | Val Cost: 27907.91 | Val Max P-Miss: 1.3426 | Val Max Q-Miss: 1.2775 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 997.2908 | Val Cost: 23456.43 | Val Max P-Miss: 1.7515 | Val Max Q-Miss: 1.6545 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1400 | Val Loss: 1013.8768 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2888 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1500 | Val Loss: 1011.8923 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2857 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1600 | Val Loss: 994.1188 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2959 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1700 | Val Loss: 1039.2781 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.4893 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1800 | Val Loss: 1095.5364 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.5871 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1900 | Val Loss: 1093.9877 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.4893 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2000 | Val Loss: 980.2917 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2869 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2100 | Val Loss: 1005.0177 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2996 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2200 | Val Loss: 1148.8448 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.3543 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2300 | Val Loss: 944.5150 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2728 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2400 | Val Loss: 891.6680 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2890 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2500 | Val Loss: 935.6253 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2859 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2600 | Val Loss: 1205.6685 | Val Cost: 23456.55 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2700 | Val Loss: 1390.1200 | Val Cost: 23456.47 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2800 | Val Loss: 968.2833 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2900 | Val Loss: 2569.2778 | Val Cost: 23456.43 | Val Max P-Miss: 1.9924 | Val Max Q-Miss: 2.0031 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3000 | Val Loss: 959.4928 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3100 | Val Loss: 999.2549 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3200 | Val Loss: 956.6582 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3300 | Val Loss: 1070.6102 | Val Cost: 23456.43 | Val Max P-Miss: 2.0941 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3400 | Val Loss: 1066.6250 | Val Cost: 23456.43 | Val Max P-Miss: 2.0940 | Val Max Q-Miss: 2.0029 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3500 | Val Loss: 978.3320 | Val Cost: 23456.43 | Val Max P-Miss: 2.0940 | Val Max Q-Miss: 1.6468 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3600 | Val Loss: 1000.0775 | Val Cost: 23456.43 | Val Max P-Miss: 2.0920 | Val Max Q-Miss: 1.6445 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3700 | Val Loss: 931.9408 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.3006 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
