Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch  290 | Val Loss: 124.4062 | Val Cost: -181.10 | Val Max P-Miss: 1.1424 | Val Max Q-Miss: 0.9673 | Val Max Gen Viol: 0.0607 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 163.1072 | Val Cost: -194.78 | Val Max P-Miss: 1.1476 | Val Max Q-Miss: 1.1120 | Val Max Gen Viol: 0.0660 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 193.5869 | Val Cost: -208.59 | Val Max P-Miss: 1.1566 | Val Max Q-Miss: 1.1693 | Val Max Gen Viol: 0.0714 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 228.0543 | Val Cost: -222.76 | Val Max P-Miss: 1.1690 | Val Max Q-Miss: 1.3129 | Val Max Gen Viol: 0.0770 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 258.0894 | Val Cost: -237.11 | Val Max P-Miss: 1.1830 | Val Max Q-Miss: 1.5314 | Val Max Gen Viol: 0.0826 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 256.9255 | Val Cost: -251.69 | Val Max P-Miss: 1.1746 | Val Max Q-Miss: 1.6342 | Val Max Gen Viol: 0.0883 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 7886.0122 | Val Cost: -177.93 | Val Max P-Miss: 1.1272 | Val Max Q-Miss: 0.3011 | Val Max Gen Viol: 0.0605 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 739.4420 | Val Cost: -134.01 | Val Max P-Miss: 1.3030 | Val Max Q-Miss: 2.1954 | Val Max Gen Viol: 0.0460 | Val Max Thermal: 1.2109
Epoch  370 | Val Loss: 296.9458 | Val Cost: -134.54 | Val Max P-Miss: 2.9867 | Val Max Q-Miss: 2.6251 | Val Max Gen Viol: 0.0463 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 123.4658 | Val Cost: -158.36 | Val Max P-Miss: 1.3106 | Val Max Q-Miss: 1.6616 | Val Max Gen Viol: 0.0543 | Val Max Thermal: 0.0000
Epoch  390 | Val Loss: 167.5163 | Val Cost: -180.77 | Val Max P-Miss: 1.1262 | Val Max Q-Miss: 0.2426 | Val Max Gen Viol: 0.0618 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 247.0870 | Val Cost: -204.56 | Val Max P-Miss: 1.1314 | Val Max Q-Miss: 0.2798 | Val Max Gen Viol: 0.0699 | Val Max Thermal: 0.0000
Epoch  410 | Val Loss: 1389.5524 | Val Cost: -203.30 | Val Max P-Miss: 1.1248 | Val Max Q-Miss: 0.5462 | Val Max Gen Viol: 0.0691 | Val Max Thermal: 0.0000
Epoch  420 | Val Loss: 842.7358 | Val Cost: -125.99 | Val Max P-Miss: 2.5450 | Val Max Q-Miss: 2.8149 | Val Max Gen Viol: 0.0431 | Val Max Thermal: 1.0997
Epoch  430 | Val Loss: -21.0371 | Val Cost: -137.67 | Val Max P-Miss: 1.8876 | Val Max Q-Miss: 1.9121 | Val Max Gen Viol: 0.0473 | Val Max Thermal: 0.6622
Epoch  440 | Val Loss: 78.3262 | Val Cost: -170.31 | Val Max P-Miss: 1.4186 | Val Max Q-Miss: 1.5790 | Val Max Gen Viol: 0.0582 | Val Max Thermal: 0.5274
Epoch  450 | Val Loss: 132.8976 | Val Cost: -203.80 | Val Max P-Miss: 1.1539 | Val Max Q-Miss: 1.5609 | Val Max Gen Viol: 0.0695 | Val Max Thermal: 0.4620
Epoch  460 | Val Loss: 136.8088 | Val Cost: -233.43 | Val Max P-Miss: 1.1332 | Val Max Q-Miss: 1.4774 | Val Max Gen Viol: 0.0794 | Val Max Thermal: 0.1667
Epoch  470 | Val Loss: -65.0974 | Val Cost: -262.87 | Val Max P-Miss: 1.1326 | Val Max Q-Miss: 1.3907 | Val Max Gen Viol: 0.0894 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  480 | Val Loss: 777.4018 | Val Cost: -172.35 | Val Max P-Miss: 1.1198 | Val Max Q-Miss: 0.2529 | Val Max Gen Viol: 0.0593 | Val Max Thermal: 0.0000
Epoch  490 | Val Loss: 209.2580 | Val Cost: -185.07 | Val Max P-Miss: 1.1247 | Val Max Q-Miss: 0.2338 | Val Max Gen Viol: 0.0637 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 294.8932 | Val Cost: -207.07 | Val Max P-Miss: 1.1269 | Val Max Q-Miss: 0.2334 | Val Max Gen Viol: 0.0712 | Val Max Thermal: 0.0000
Epoch  510 | Val Loss: 307.5896 | Val Cost: -230.75 | Val Max P-Miss: 1.1294 | Val Max Q-Miss: 0.2334 | Val Max Gen Viol: 0.0793 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 233.0991 | Val Cost: -254.59 | Val Max P-Miss: 1.1326 | Val Max Q-Miss: 0.2305 | Val Max Gen Viol: 0.0874 | Val Max Thermal: 0.0000
Epoch  530 | Val Loss: 1165.5750 | Val Cost: -275.87 | Val Max P-Miss: 1.1450 | Val Max Q-Miss: 0.2111 | Val Max Gen Viol: 0.0947 | Val Max Thermal: 0.0000
Epoch  540 | Val Loss: 250.3486 | Val Cost: -252.65 | Val Max P-Miss: 1.1530 | Val Max Q-Miss: 0.2210 | Val Max Gen Viol: 0.0870 | Val Max Thermal: 0.0000
Epoch  550 | Val Loss: 227.7157 | Val Cost: -279.53 | Val Max P-Miss: 1.1517 | Val Max Q-Miss: 0.2155 | Val Max Gen Viol: 0.0962 | Val Max Thermal: 0.0000
Epoch  560 | Val Loss: 158.8911 | Val Cost: -305.83 | Val Max P-Miss: 1.1495 | Val Max Q-Miss: 0.2140 | Val Max Gen Viol: 0.1053 | Val Max Thermal: 0.0000
Epoch  570 | Val Loss: 1042.3748 | Val Cost: -199.51 | Val Max P-Miss: 1.1519 | Val Max Q-Miss: 0.2529 | Val Max Gen Viol: 0.0681 | Val Max Thermal: 0.0000
Epoch  580 | Val Loss: 161.6731 | Val Cost: -218.97 | Val Max P-Miss: 1.1461 | Val Max Q-Miss: 0.2214 | Val Max Gen Viol: 0.0747 | Val Max Thermal: 0.0000
Epoch  590 | Val Loss: 71.4155 | Val Cost: -246.06 | Val Max P-Miss: 1.1390 | Val Max Q-Miss: 0.2433 | Val Max Gen Viol: 0.0838 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 225.1697 | Val Cost: -274.47 | Val Max P-Miss: 1.1409 | Val Max Q-Miss: 0.2277 | Val Max Gen Viol: 0.0934 | Val Max Thermal: 0.0000
Epoch  610 | Val Loss: 232.1805 | Val Cost: -301.25 | Val Max P-Miss: 1.1487 | Val Max Q-Miss: 0.2355 | Val Max Gen Viol: 0.1026 | Val Max Thermal: 0.0000
Epoch  620 | Val Loss: 202.8529 | Val Cost: -315.65 | Val Max P-Miss: 1.1457 | Val Max Q-Miss: 0.2315 | Val Max Gen Viol: 0.1076 | Val Max Thermal: 0.0000
Epoch  630 | Val Loss: 153.8684 | Val Cost: -347.43 | Val Max P-Miss: 1.1499 | Val Max Q-Miss: 0.2356 | Val Max Gen Viol: 0.1184 | Val Max Thermal: 0.0000
Epoch  640 | Val Loss: 2878.9390 | Val Cost: -268.17 | Val Max P-Miss: 1.1440 | Val Max Q-Miss: 0.2236 | Val Max Gen Viol: 0.0911 | Val Max Thermal: 0.0000
Epoch  650 | Val Loss: -100.5069 | Val Cost: -213.66 | Val Max P-Miss: 1.1423 | Val Max Q-Miss: 0.2179 | Val Max Gen Viol: 0.0729 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  660 | Val Loss: 153.5019 | Val Cost: -257.81 | Val Max P-Miss: 1.1459 | Val Max Q-Miss: 0.2220 | Val Max Gen Viol: 0.0876 | Val Max Thermal: 0.0000
Epoch  670 | Val Loss: 327.9204 | Val Cost: -302.06 | Val Max P-Miss: 1.1497 | Val Max Q-Miss: 0.2270 | Val Max Gen Viol: 0.1025 | Val Max Thermal: 0.0000
Epoch  680 | Val Loss: 258.2968 | Val Cost: -346.15 | Val Max P-Miss: 1.1532 | Val Max Q-Miss: 0.2327 | Val Max Gen Viol: 0.1172 | Val Max Thermal: 0.0000
Epoch  690 | Val Loss: 1055.4154 | Val Cost: -375.44 | Val Max P-Miss: 1.1564 | Val Max Q-Miss: 0.2379 | Val Max Gen Viol: 0.1270 | Val Max Thermal: 0.0000
Epoch  700 | Val Loss: 3684.9263 | Val Cost: -350.20 | Val Max P-Miss: 1.1551 | Val Max Q-Miss: 0.2330 | Val Max Gen Viol: 0.1189 | Val Max Thermal: 0.0000
Epoch  710 | Val Loss: 596.0022 | Val Cost: -289.07 | Val Max P-Miss: 1.1502 | Val Max Q-Miss: 0.2190 | Val Max Gen Viol: 0.0983 | Val Max Thermal: 0.0000
Epoch  720 | Val Loss: 156.2704 | Val Cost: -320.12 | Val Max P-Miss: 1.1512 | Val Max Q-Miss: 0.2249 | Val Max Gen Viol: 0.1088 | Val Max Thermal: 0.0000
Epoch  730 | Val Loss: 337.0043 | Val Cost: -352.00 | Val Max P-Miss: 1.1543 | Val Max Q-Miss: 0.2279 | Val Max Gen Viol: 0.1195 | Val Max Thermal: 0.0000
Epoch  740 | Val Loss: 196.4648 | Val Cost: -383.73 | Val Max P-Miss: 1.1563 | Val Max Q-Miss: 0.2966 | Val Max Gen Viol: 0.1302 | Val Max Thermal: 0.0000
Epoch  750 | Val Loss: 74.3506 | Val Cost: -151.78 | Val Max P-Miss: 1.1438 | Val Max Q-Miss: 0.2476 | Val Max Gen Viol: 0.0524 | Val Max Thermal: 0.0000
