Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
--- STEP 1: EXHAUSTIVE DATASET INTEGRITY CHECK ---
All problem matrices are 100% clean of NaNs and Infs.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 106.3814 | Val Cost: 23711.89 | Val Max P-Miss: 1.2498 | Max Q-Miss: 1.1206 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 23.0356 | Val Cost: 32041.44 | Val Max P-Miss: 0.3594 | Max Q-Miss: 0.1952 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 25.9297 | Val Cost: 32341.47 | Val Max P-Miss: 0.2376 | Max Q-Miss: 0.1806 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 21.1597 | Val Cost: 31850.58 | Val Max P-Miss: 0.3409 | Max Q-Miss: 0.1824 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 19.5589 | Val Cost: 31935.53 | Val Max P-Miss: 0.1425 | Max Q-Miss: 0.1187 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 19.8848 | Val Cost: 31714.66 | Val Max P-Miss: 0.2027 | Max Q-Miss: 0.1195 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 19.0276 | Val Cost: 31711.94 | Val Max P-Miss: 0.1384 | Max Q-Miss: 0.0986 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  700 | Val Loss: 19.3073 | Val Cost: 31346.71 | Val Max P-Miss: 0.2005 | Max Q-Miss: 0.1075 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 19.3928 | Val Cost: 31204.61 | Val Max P-Miss: 0.1759 | Max Q-Miss: 0.1286 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 18.4114 | Val Cost: 31147.33 | Val Max P-Miss: 0.1285 | Max Q-Miss: 0.0756 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1000 | Val Loss: 18.9698 | Val Cost: 30996.66 | Val Max P-Miss: 0.1547 | Max Q-Miss: 0.1335 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1100 | Val Loss: 19.4234 | Val Cost: 30988.18 | Val Max P-Miss: 0.1604 | Max Q-Miss: 0.1193 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1200 | Val Loss: 18.9214 | Val Cost: 30944.12 | Val Max P-Miss: 0.1720 | Max Q-Miss: 0.1448 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 18.8147 | Val Cost: 30880.61 | Val Max P-Miss: 0.1863 | Max Q-Miss: 0.0934 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1400 | Val Loss: 18.5048 | Val Cost: 30934.23 | Val Max P-Miss: 0.1273 | Max Q-Miss: 0.0558 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1500 | Val Loss: 18.4180 | Val Cost: 30726.37 | Val Max P-Miss: 0.1363 | Max Q-Miss: 0.0892 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1600 | Val Loss: 18.5310 | Val Cost: 30617.32 | Val Max P-Miss: 0.2044 | Max Q-Miss: 0.0896 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1700 | Val Loss: 18.3973 | Val Cost: 30708.93 | Val Max P-Miss: 0.1306 | Max Q-Miss: 0.0807 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1800 | Val Loss: 18.4270 | Val Cost: 30630.96 | Val Max P-Miss: 0.1609 | Max Q-Miss: 0.0786 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1900 | Val Loss: 18.2412 | Val Cost: 30730.13 | Val Max P-Miss: 0.1177 | Max Q-Miss: 0.0535 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2000 | Val Loss: 18.2578 | Val Cost: 30672.13 | Val Max P-Miss: 0.1391 | Max Q-Miss: 0.0885 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2100 | Val Loss: 18.6279 | Val Cost: 30363.56 | Val Max P-Miss: 0.2189 | Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2200 | Val Loss: 18.3637 | Val Cost: 30483.03 | Val Max P-Miss: 0.1491 | Max Q-Miss: 0.0730 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2300 | Val Loss: 18.3671 | Val Cost: 30458.41 | Val Max P-Miss: 0.1070 | Max Q-Miss: 0.0720 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2400 | Val Loss: 18.1942 | Val Cost: 30476.20 | Val Max P-Miss: 0.1311 | Max Q-Miss: 0.0672 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2500 | Val Loss: 18.4107 | Val Cost: 30164.43 | Val Max P-Miss: 0.1526 | Max Q-Miss: 0.0935 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2600 | Val Loss: 18.4215 | Val Cost: 30380.46 | Val Max P-Miss: 0.1539 | Max Q-Miss: 0.0676 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2700 | Val Loss: 18.5284 | Val Cost: 30159.45 | Val Max P-Miss: 0.1388 | Max Q-Miss: 0.1079 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
