,Run,Run,N,N,Success_Rate,Success_Rate,NN_Time_s,NN_Time_s,IPOPT_Time_s,IPOPT_Time_s,Total_Online_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Time_s,Speedup,Speedup,Feasible_Obj_Gap_pct,Feasible_Obj_Gap_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Architecture,,,,,,,,,,,,,,,,,,
DC3,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,7.505620364099741e-05,1.9387713141777857e-06,0.5089264289988205,0.010517720439977844,0.5090014852024615,0.010518765862801014,0.49663372861687094,0.0,0.9762914471255145,0.01981077057338229,-6.775465370755529e-11,1.5185640299490628e-12
FSNet,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,8.010779973119497e-05,7.147709178739592e-06,0.5072355418233201,0.009162537129157319,0.5073156496230513,0.009161741283818607,0.49663372861687094,0.0,0.9797471857691246,0.01704869643125736,-4.0621717024406404e-11,3.624301118113766e-11
KKT,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,0.00016342340037226675,2.4273441623698056e-05,0.5176844266802073,0.012723695005859912,0.5178478500805795,0.012744840125904485,0.49663372861687094,0.0,0.9600350915232057,0.022617065823269146,-6.807830266900197e-11,1.818631623953115e-12
PINN Baseline,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,9.528906084597111e-05,4.397466084863731e-05,0.5249730177223683,0.010421543073511983,0.5250683067832143,0.010459196713327314,0.49663372861687094,0.0,0.9468425903961831,0.01814560984265179,-7.007566036077864e-11,1.9852746866541145e-12
Rahul's Model,3.0,1.5811388300841898,10.0,0.0,1.0,0.0,0.00015403999481350183,1.613192838784443e-05,0.5158507857006043,0.008121467963523159,0.5160048256954178,0.008108565775392118,0.49663372861687094,0.0,0.9633650762726148,0.015253740067897679,-2.7050089177627737e-12,1.5718050351029925e-12
