Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
Ablated PINN,1,9,1.0,0.00023771004958285225,0.7486634553513594,0.7489011654009422,1.4954512683519472,2.004816458455015,1.5027722901485782e-12
Ablated PINN,2,9,1.0,7.682034952772988e-05,0.7092754747718573,0.709352295121385,1.4954512683519472,2.1163565492363436,3.431057419215765e-13
Ablated PINN,3,9,1.0,6.679807686143451e-05,0.7806602279759116,0.780727026052773,1.4954512683519472,1.917184956825692,3.557821982508276e-12
Ablated PINN,4,9,1.0,7.574156754546695e-05,0.7772182451768054,0.7772939867443509,1.4954512683519472,1.9257751560905985,-1.4157095241049358e-11
Ablated PINN,5,9,1.0,7.823606332143147e-05,0.7797545350881087,0.7798327711514301,1.4954512683519472,1.9224295165971883,-3.0375232616458367e-12
