Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,10,1.0,0.000174993509426713,1.6823087828233838,1.6824837763328104,1.5104782136157155,0.9019023428507577,3.730909325391556e-12
DC3,2,10,1.0,0.00017464549746364354,1.4350398190086708,1.4352144645061344,1.5104782136157155,1.065293375940725,-2.714525285736022e-12
DC3,3,10,1.0,0.0001793914008885622,1.2963707554619759,1.2965501468628644,1.5104782136157155,1.1677242118330091,-4.775532476966023e-12
DC3,4,10,1.0,0.0001608615042641759,0.8556141528766602,0.8557750143809244,1.5104782136157155,1.9830024208256876,-2.998602221272991e-12
DC3,5,10,1.0,0.00014427038840949535,0.9423602198949084,0.9425044902833178,1.5104782136157155,1.8377749823002845,-3.4922933457109423e-12
FSNet,1,10,1.0,0.00019497249741107225,1.3739788898266851,1.3741738623240962,1.5104782136157155,1.09676160893138,-3.111676262881007e-12
FSNet,2,10,1.0,0.00017284550704061986,1.3620937918312848,1.3622666373383254,1.5104782136157155,1.167198714640751,-4.650178868993731e-12
FSNet,3,10,1.0,0.00027422579005360604,1.6016583125572652,1.6019325383473189,1.5104782136157155,0.9624747121459029,-4.107637494000898e-12
FSNet,4,10,1.0,0.00017311549745500088,1.4057847697753458,1.405957885272801,1.5104782136157155,1.0841760462400636,-4.555289087533765e-12
FSNet,5,10,1.0,0.00016877450980246067,1.2591480104718358,1.2593167849816382,1.5104782136157155,1.199000031088604,-2.3457829494947605e-12
KKT,1,10,1.0,0.0003693670034408569,0.6846877791685984,0.6850571461720392,1.5104782136157155,2.258200308372149,-4.860796332179971e-12
KKT,2,10,1.0,0.0008887413889169693,1.021458800788969,1.0223475421778858,1.5104782136157155,1.684241782767971,-7.118063569347526e-13
KKT,3,10,1.0,0.00042968920897692444,1.3481280881213025,1.3485577773302793,1.5104782136157155,1.1213754759664527,-4.716885061450163e-12
KKT,4,10,1.0,0.00037985951639711856,1.3797684117453173,1.3801482712617144,1.5104782136157155,1.131932982194805,-1.6984403581463146e-11
KKT,5,10,1.0,0.0006371872033923865,1.7113176912534982,1.7119548784568905,1.5104782136157155,0.8893676340258289,-4.185301915138338e-12
PINN Baseline,1,10,1.0,0.00026646670885384084,1.3652236181078479,1.3654900848167018,1.5104782136157155,1.1107176866492487,-3.6019495822008893e-12
PINN Baseline,2,10,1.0,0.0001830624882131815,1.417141145002097,1.41732420749031,1.5104782136157155,1.0670310333504598,-2.9796433808466696e-12
PINN Baseline,3,10,1.0,0.0058725096983835105,0.8790787188569084,0.8849512285552918,1.5104782136157155,1.9273501658590093,-3.3372740999075794e-12
PINN Baseline,4,10,1.0,0.00014054141938686372,1.268741693883203,1.26888223530259,1.5104782136157155,1.2546722096503298,-2.7910223288700223e-12
PINN Baseline,5,10,1.0,0.0002043426036834717,1.3685035268776118,1.3687078694812953,1.5104782136157155,1.1016308991398607,-3.836511519248588e-12
Rahul's Model,1,10,1.0,0.0004252671031281352,1.3648849811637773,1.3653102482669055,1.5104782136157155,1.1058858893371686,-3.41428763658267e-12
Rahul's Model,2,10,1.0,0.000333070894703269,1.2102790579898284,1.2106121288845315,1.5104782136157155,1.288439710343112,-3.5533762662940216e-12
Rahul's Model,3,10,1.0,0.00040617999620735646,0.6368217472219839,0.6372279272181913,1.5104782136157155,2.376572337405288,-3.5771019718703703e-12
Rahul's Model,4,10,1.0,0.0003395559964701533,0.9477939089061692,0.9481334649026394,1.5104782136157155,1.8152442003855054,5.129854562516443e-12
Rahul's Model,5,10,1.0,0.000580007885582745,1.3243848427431657,1.3249648506287486,1.5104782136157155,1.1393315276615519,-4.148134969645772e-12
