Instance_ID,Cold_IPOPT_Status,Cold_IPOPT_Success,Cold_IPOPT_Time_s,Cold_IPOPT_Cost
110,optimal,True,0.8630913479719311,558740.0101345157
111,maxIterations,False,21.426499988883734,
112,optimal,True,1.3855121179949492,559648.7891987928
113,optimal,True,1.414193111937493,565250.9640345441
114,maxIterations,False,33.76967004383914,
115,infeasible,False,6.344245498999953,
116,optimal,True,2.5840014659333974,575382.8910627208
117,maxIterations,False,30.724364958005026,
118,optimal,True,1.5767123640980572,572212.2908409843
119,optimal,True,2.212603511987254,560485.5550352287
