Architecture,Optimality Gap (%),Max Eq. (p.u.),Mean Eq. (p.u.),Max Ineq. (p.u.),Mean Ineq. (p.u.),MAE v,MAE pg,MAE qg,Time (s)
PINN Baseline (n=5),"+538.1759 ± 19.1605 [514.3850, 561.9668]","23.5061 ± 0.0071 [23.4973, 23.5150]","1.0044 ± 0.0263 [0.9718, 1.0371]","0.8761 ± 0.0074 [0.8669, 0.8853]","0.0385 ± 0.0022 [0.0358, 0.0412]",0.83043,8.0491,0.4494,0.000056 ± 0.000029
DC3 (n=5),"+520.4501 ± 2.3381 [517.5470, 523.3533]","301.1351 ± 2.8476 [297.5993, 304.6710]","10.8340 ± 0.0199 [10.8092, 10.8587]","74072.0462 ± 1377.6857 [72361.4235, 75782.6690]","45.4824 ± 1.4297 [43.7073, 47.2576]",0.58258,8.2213,0.4930,0.000037 ± 0.000003
FSNet (n=5),"+502.8424 ± 1.8670 [500.5242, 505.1606]","311.7537 ± 1.4925 [309.9006, 313.6068]","10.8644 ± 0.0329 [10.8236, 10.9053]","79034.3847 ± 591.1108 [78300.4237, 79768.3457]","50.1035 ± 1.2870 [48.5055, 51.7015]",0.57833,8.0586,0.4949,0.000038 ± 0.000003
KKT (n=5),"+516.4200 ± 13.3386 [499.8580, 532.9821]","23.4990 ± 0.0424 [23.4463, 23.5516]","0.9980 ± 0.0039 [0.9932, 1.0028]","0.0466 ± 0.0111 [0.0328, 0.0605]","0.0002 ± 0.0001 [0.0001, 0.0004]",0.16088,8.1202,0.4930,0.000072 ± 0.000010
Rahul's Model (n=5),"+1470.6899 ± 5.7036 [1463.6080, 1477.7718]","23.4605 ± 0.1688 [23.2509, 23.6702]","1.5458 ± 0.0127 [1.5300, 1.5616]","0.0468 ± 0.0197 [0.0223, 0.0713]","0.0001 ± 0.0001 [-0.0000, 0.0002]",0.15422,14.2042,0.6913,0.000081 ± 0.000014
Ablated PINN (n=5),"-425.1682 ± 26.3322 [-457.8639, -392.4724]","1.6953 ± 0.3476 [1.2637, 2.1270]","0.1412 ± 0.0022 [0.1384, 0.1440]","54.1281 ± 1.3816 [52.4126, 55.8435]","0.3633 ± 0.0129 [0.3473, 0.3793]",0.76545,8.5290,6.7300,0.000032 ± 0.000001
