Architecture,Optimality Gap (%),Max Eq. (p.u.),Mean Eq. (p.u.),Max Ineq. (p.u.),Mean Ineq. (p.u.),MAE v,MAE pg,MAE qg,Time (s)
PINN Baseline (n=5),"-21.48 ± 0.10 [-21.60, -21.36]","0.10 ± 0.00 [0.09, 0.10]","0.03 ± 0.00 [0.03, 0.03]","0.34 ± 0.01 [0.34, 0.35]","0.03 ± 0.00 [0.03, 0.03]",0.63475,0.6794,0.3066,0.000008 ± 0.000002
DC3 (n=5),"-21.93 ± 0.23 [-22.22, -21.64]","37.17 ± 0.30 [36.80, 37.54]","3.02 ± 0.01 [3.01, 3.03]","929.05 ± 4.56 [923.39, 934.71]","8.08 ± 0.05 [8.02, 8.15]",0.56807,0.4577,0.2845,0.000006 ± 0.000000
FSNet (n=5),"-23.78 ± 0.10 [-23.91, -23.65]","38.33 ± 0.13 [38.17, 38.48]","2.96 ± 0.00 [2.96, 2.97]","940.34 ± 6.25 [932.58, 948.09]","8.34 ± 0.04 [8.28, 8.39]",0.53191,0.4758,0.3050,0.000008 ± 0.000004
KKT (n=5),"-18.45 ± 0.13 [-18.61, -18.29]","0.06 ± 0.00 [0.06, 0.07]","0.02 ± 0.00 [0.02, 0.02]","0.00 ± 0.00 [0.00, 0.00]","0.00 ± 0.00 [0.00, 0.00]",0.05498,0.4757,0.3136,0.000009 ± 0.000000
Rahul's Model (n=5),"+9.37 ± 1.92 [6.99, 11.75]","0.92 ± 0.11 [0.78, 1.06]","0.11 ± 0.03 [0.08, 0.14]","0.01 ± 0.01 [-0.00, 0.01]","0.00 ± 0.00 [-0.00, 0.00]",0.05171,1.0330,0.2832,0.000009 ± 0.000000
Ablated PINN (n=5),"-320.51 ± 20.36 [-345.79, -295.24]","0.14 ± 0.04 [0.10, 0.18]","0.03 ± 0.00 [0.02, 0.03]","17.36 ± 0.49 [16.75, 17.97]","0.37 ± 0.01 [0.35, 0.38]",0.86675,11.9487,1.6669,0.000006 ± 0.000000
