Architecture,Optimality Gap (%),Max Eq. (p.u.),Mean Eq. (p.u.),Max Ineq. (p.u.),Mean Ineq. (p.u.),MAE v,MAE pg,MAE qg,Time (s)
PINN Baseline (n=5),"-39.17 ± 2.62 [-42.42, -35.91]","0.47 ± 0.12 [0.32, 0.63]","0.13 ± 0.03 [0.08, 0.17]","16.43 ± 3.45 [12.14, 20.71]","0.09 ± 0.01 [0.07, 0.11]",0.78459,1.9783,2.1051,0.000010 ± 0.000002
DC3 (n=5),"-32.10 ± 0.10 [-32.22, -31.98]","84.66 ± 0.52 [84.02, 85.30]","4.74 ± 0.02 [4.72, 4.76]","7230.72 ± 98.48 [7108.44, 7353.01]","19.83 ± 0.19 [19.60, 20.07]",0.71918,1.4228,0.6350,0.000009 ± 0.000000
FSNet (n=5),"-34.43 ± 0.06 [-34.51, -34.35]","83.12 ± 1.14 [81.70, 84.54]","4.70 ± 0.01 [4.69, 4.72]","6955.98 ± 182.94 [6728.83, 7183.13]","19.03 ± 0.17 [18.82, 19.23]",0.71741,1.5257,0.6825,0.000009 ± 0.000001
KKT (n=5),"-34.49 ± 0.30 [-34.87, -34.12]","0.30 ± 0.07 [0.22, 0.39]","0.05 ± 0.00 [0.05, 0.05]","0.42 ± 0.23 [0.13, 0.71]","0.00 ± 0.00 [0.00, 0.00]",0.07056,1.5269,0.7917,0.000016 ± 0.000001
Rahul's Model (n=5),"-7.57 ± 0.99 [-8.80, -6.33]","0.74 ± 0.17 [0.53, 0.95]","0.04 ± 0.00 [0.04, 0.04]","0.07 ± 0.03 [0.03, 0.10]","0.00 ± 0.00 [0.00, 0.00]",0.04958,0.9685,0.6675,0.000016 ± 0.000000
Ablated PINN (n=5),"-46.80 ± 2.16 [-49.48, -44.12]","0.54 ± 0.09 [0.43, 0.65]","0.10 ± 0.01 [0.08, 0.11]","16.14 ± 1.34 [14.47, 17.80]","0.15 ± 0.01 [0.14, 0.16]",0.91555,3.0344,2.9684,0.000008 ± 0.000001
