Architecture,Optimality Gap (%),Max Eq. (p.u.),Mean Eq. (p.u.),Max Ineq. (p.u.),Mean Ineq. (p.u.),MAE v,MAE pg,MAE qg,Time (s)
PINN Baseline (n=5),"+11.56 ± 22.86 [-16.83, 39.95]","0.90 ± 0.54 [0.24, 1.57]","0.10 ± 0.03 [0.06, 0.15]","0.35 ± 0.26 [0.03, 0.68]","0.03 ± 0.03 [-0.00, 0.07]",0.73802,0.2693,0.0670,0.000010 ± 0.000011
DC3 (n=5),"-34.60 ± 3.01 [-38.34, -30.86]","1.03 ± 0.03 [1.00, 1.06]","0.12 ± 0.01 [0.11, 0.12]","0.04 ± 0.03 [0.00, 0.07]","0.00 ± 0.00 [-0.00, 0.00]",0.29775,0.1903,0.0961,0.000007 ± 0.000001
FSNet (n=5),"-3.05 ± 3.70 [-7.65, 1.55]","7.69 ± 3.51 [3.33, 12.05]","1.54 ± 0.71 [0.66, 2.43]","11.80 ± 6.13 [4.19, 19.41]","0.41 ± 0.18 [0.19, 0.63]",0.43509,0.0698,0.0531,0.000008 ± 0.000005
KKT (n=5),"+6.06 ± 0.08 [5.96, 6.16]","2.26 ± 1.61 [0.27, 4.25]","0.25 ± 0.13 [0.09, 0.40]","0.00 ± 0.00 [0.00, 0.00]","0.00 ± 0.00 [0.00, 0.00]",0.09239,0.0333,0.0613,0.000007 ± 0.000000
Rahul's Model (n=5),"+9.33 ± 1.98 [6.88, 11.78]","0.27 ± 0.08 [0.18, 0.37]","0.07 ± 0.01 [0.06, 0.08]","0.03 ± 0.00 [0.02, 0.03]","0.00 ± 0.00 [0.00, 0.00]",0.06269,0.4118,0.0482,0.000008 ± 0.000000
Ablated PINN (n=5),"-721.23 ± 248.30 [-1029.53, -412.92]","0.04 ± 0.01 [0.03, 0.05]","0.01 ± 0.00 [0.00, 0.01]","7.26 ± 2.43 [4.24, 10.28]","0.25 ± 0.05 [0.19, 0.32]",0.95273,3.2224,1.3517,0.000006 ± 0.000000
