Job: acopf_run
Executing: ACOPF_FSNet.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch  380 | Cost: 1500.31 | Max P-Miss: 0.1523 | Max Q-Miss: 0.0531 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  390 | Cost: 1502.89 | Max P-Miss: 0.1460 | Max Q-Miss: 0.0493 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  400 | Cost: 1503.92 | Max P-Miss: 0.1507 | Max Q-Miss: 0.0485 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  410 | Cost: 1506.21 | Max P-Miss: 0.1449 | Max Q-Miss: 0.0470 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  420 | Cost: 1506.99 | Max P-Miss: 0.1472 | Max Q-Miss: 0.0482 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  430 | Cost: 1508.43 | Max P-Miss: 0.1321 | Max Q-Miss: 0.0667 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  440 | Cost: 1507.26 | Max P-Miss: 0.1265 | Max Q-Miss: 0.0544 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  450 | Cost: 1389.30 | Max P-Miss: 0.1962 | Max Q-Miss: 0.0722 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  460 | Cost: 1468.93 | Max P-Miss: 0.1697 | Max Q-Miss: 0.0805 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  470 | Cost: 1485.61 | Max P-Miss: 0.1735 | Max Q-Miss: 0.0865 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  480 | Cost: 1462.43 | Max P-Miss: 0.1661 | Max Q-Miss: 0.0758 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  490 | Cost: 1518.10 | Max P-Miss: 0.1377 | Max Q-Miss: 0.0635 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  500 | Cost: 1521.37 | Max P-Miss: 0.1349 | Max Q-Miss: 0.0645 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  510 | Cost: 1519.71 | Max P-Miss: 0.1351 | Max Q-Miss: 0.0676 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  520 | Cost: 1518.81 | Max P-Miss: 0.1308 | Max Q-Miss: 0.0597 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  530 | Cost: 1517.48 | Max P-Miss: 0.1279 | Max Q-Miss: 0.0539 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  540 | Cost: 1516.31 | Max P-Miss: 0.1295 | Max Q-Miss: 0.0560 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  550 | Cost: 1514.61 | Max P-Miss: 0.1293 | Max Q-Miss: 0.0527 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  560 | Cost: 1512.69 | Max P-Miss: 0.1270 | Max Q-Miss: 0.0495 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  570 | Cost: 1510.56 | Max P-Miss: 0.1222 | Max Q-Miss: 0.0514 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  580 | Cost: 1449.73 | Max P-Miss: 0.1597 | Max Q-Miss: 0.1009 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  590 | Cost: 1460.72 | Max P-Miss: 0.1577 | Max Q-Miss: 0.0534 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  600 | Cost: 1481.74 | Max P-Miss: 0.1578 | Max Q-Miss: 0.0585 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
