Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py
Node: issnode2
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch  290 | Val Loss: 20.9394 | Val Cost: 1593.27 | Val Max P-Miss: 0.1611 | Val Max Q-Miss: 0.0613 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 23.8181 | Val Cost: 1556.11 | Val Max P-Miss: 0.1986 | Val Max Q-Miss: 0.1040 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 22.0544 | Val Cost: 1584.53 | Val Max P-Miss: 0.1702 | Val Max Q-Miss: 0.0932 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 21.3376 | Val Cost: 1586.15 | Val Max P-Miss: 0.1408 | Val Max Q-Miss: 0.0718 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 21.4642 | Val Cost: 1562.99 | Val Max P-Miss: 0.1209 | Val Max Q-Miss: 0.0942 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 21.1060 | Val Cost: 1573.99 | Val Max P-Miss: 0.1192 | Val Max Q-Miss: 0.1096 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 22.3104 | Val Cost: 1579.19 | Val Max P-Miss: 0.1568 | Val Max Q-Miss: 0.1456 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 23.4430 | Val Cost: 1620.96 | Val Max P-Miss: 0.1915 | Val Max Q-Miss: 0.1446 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 21.1281 | Val Cost: 1580.41 | Val Max P-Miss: 0.1027 | Val Max Q-Miss: 0.1187 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 20.6010 | Val Cost: 1598.20 | Val Max P-Miss: 0.1252 | Val Max Q-Miss: 0.0929 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  390 | Val Loss: 26.5067 | Val Cost: 1402.70 | Val Max P-Miss: 0.2767 | Val Max Q-Miss: 0.1166 | Val Max Gen Viol: 0.0104 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 22.8112 | Val Cost: 1601.62 | Val Max P-Miss: 0.2447 | Val Max Q-Miss: 0.0730 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  410 | Val Loss: 21.8732 | Val Cost: 1606.49 | Val Max P-Miss: 0.2208 | Val Max Q-Miss: 0.0542 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
