Job: acopf_run
Executing: ACOPF_pinn_rahul.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch  390 | Cost:  329.42 | Max P-Miss: 1.2889 | Max Q-Miss: 1.1054 | Max Gen Viol: 0.9018 | Max Thermal: 0.0000
Epoch  400 | Cost:  166.61 | Max P-Miss: 0.5450 | Max Q-Miss: 0.1946 | Max Gen Viol: 0.9625 | Max Thermal: 0.0000
Epoch  410 | Cost:  201.32 | Max P-Miss: 0.5363 | Max Q-Miss: 0.2965 | Max Gen Viol: 0.9704 | Max Thermal: 0.0000
Epoch  420 | Cost:  193.09 | Max P-Miss: 0.5446 | Max Q-Miss: 0.3531 | Max Gen Viol: 0.9785 | Max Thermal: 0.0000
Epoch  430 | Cost:  172.16 | Max P-Miss: 0.5348 | Max Q-Miss: 0.4129 | Max Gen Viol: 0.9863 | Max Thermal: 0.0000
Epoch  440 | Cost:  -39.82 | Max P-Miss: 2.5639 | Max Q-Miss: 1.9908 | Max Gen Viol: 1.7618 | Max Thermal: 0.0000
Epoch  450 | Cost:  -73.26 | Max P-Miss: 1.0188 | Max Q-Miss: 1.0866 | Max Gen Viol: 0.9808 | Max Thermal: 0.0000
Epoch  460 | Cost:  -90.21 | Max P-Miss: 2.4590 | Max Q-Miss: 3.2041 | Max Gen Viol: 1.7891 | Max Thermal: 0.0000
Epoch  470 | Cost:  139.72 | Max P-Miss: 0.5535 | Max Q-Miss: 0.1927 | Max Gen Viol: 0.9773 | Max Thermal: 0.0000
Epoch  480 | Cost:  162.11 | Max P-Miss: 0.5569 | Max Q-Miss: 0.2434 | Max Gen Viol: 0.9719 | Max Thermal: 0.0000
Epoch  490 | Cost:  175.79 | Max P-Miss: 0.5536 | Max Q-Miss: 0.3491 | Max Gen Viol: 0.9706 | Max Thermal: 0.0000
Epoch  500 | Cost:  172.01 | Max P-Miss: 0.5528 | Max Q-Miss: 0.3945 | Max Gen Viol: 0.9679 | Max Thermal: 0.0000
Epoch  510 | Cost:  158.52 | Max P-Miss: 0.5508 | Max Q-Miss: 0.4224 | Max Gen Viol: 0.9684 | Max Thermal: 0.0000
Epoch  520 | Cost:  -65.44 | Max P-Miss: 0.5022 | Max Q-Miss: 0.3116 | Max Gen Viol: 0.9327 | Max Thermal: 0.0000
Epoch  530 | Cost:  -12.75 | Max P-Miss: 1.5845 | Max Q-Miss: 4.6181 | Max Gen Viol: 0.8335 | Max Thermal: 0.0000
Epoch  540 | Cost: -135.11 | Max P-Miss: 0.5524 | Max Q-Miss: 0.4226 | Max Gen Viol: 0.9491 | Max Thermal: 0.0000
Epoch  550 | Cost: -181.31 | Max P-Miss: 0.5646 | Max Q-Miss: 0.4002 | Max Gen Viol: 0.9768 | Max Thermal: 0.0000
Epoch  560 | Cost: -193.70 | Max P-Miss: 0.5586 | Max Q-Miss: 0.4527 | Max Gen Viol: 0.9721 | Max Thermal: 0.0000
Epoch  570 | Cost: -177.65 | Max P-Miss: 0.5669 | Max Q-Miss: 0.5573 | Max Gen Viol: 0.9783 | Max Thermal: 0.0000
Epoch  580 | Cost: -175.73 | Max P-Miss: 0.5527 | Max Q-Miss: 0.4902 | Max Gen Viol: 0.9820 | Max Thermal: 0.0000
Epoch  590 | Cost: -174.71 | Max P-Miss: 0.5646 | Max Q-Miss: 0.6650 | Max Gen Viol: 0.9799 | Max Thermal: 0.0000
Epoch  600 | Cost: -179.75 | Max P-Miss: 0.5468 | Max Q-Miss: 0.2891 | Max Gen Viol: 0.9817 | Max Thermal: 0.0000
Epoch  610 | Cost: -193.49 | Max P-Miss: 0.5562 | Max Q-Miss: 0.4823 | Max Gen Viol: 0.9895 | Max Thermal: 0.0000
Epoch  620 | Cost: -150.52 | Max P-Miss: 1.3474 | Max Q-Miss: 1.5542 | Max Gen Viol: 0.9699 | Max Thermal: 0.0000
Epoch  630 | Cost:  -14.52 | Max P-Miss: 0.8795 | Max Q-Miss: 1.5128 | Max Gen Viol: 1.0422 | Max Thermal: 0.0000
Epoch  640 | Cost: -147.58 | Max P-Miss: 1.2047 | Max Q-Miss: 1.6074 | Max Gen Viol: 1.6020 | Max Thermal: 0.2509
Epoch  650 | Cost:  131.59 | Max P-Miss: 1.3117 | Max Q-Miss: 2.1621 | Max Gen Viol: 0.9556 | Max Thermal: 1.0640
Epoch  660 | Cost:  142.55 | Max P-Miss: 0.5610 | Max Q-Miss: 0.4504 | Max Gen Viol: 0.9879 | Max Thermal: 0.0000
Epoch  670 | Cost:  126.11 | Max P-Miss: 0.5450 | Max Q-Miss: 0.4479 | Max Gen Viol: 0.9712 | Max Thermal: 0.0000
Epoch  680 | Cost:  125.68 | Max P-Miss: 0.5525 | Max Q-Miss: 0.4552 | Max Gen Viol: 0.9775 | Max Thermal: 0.0000
Epoch  690 | Cost:  124.12 | Max P-Miss: 0.5456 | Max Q-Miss: 0.4510 | Max Gen Viol: 0.9858 | Max Thermal: 0.0000
Epoch  700 | Cost:  121.85 | Max P-Miss: 0.5535 | Max Q-Miss: 0.4636 | Max Gen Viol: 0.9763 | Max Thermal: 0.0000
Epoch  710 | Cost:   84.36 | Max P-Miss: 0.5653 | Max Q-Miss: 0.8260 | Max Gen Viol: 0.9819 | Max Thermal: 0.0000
Epoch  720 | Cost:  -94.16 | Max P-Miss: 0.8652 | Max Q-Miss: 0.9711 | Max Gen Viol: 1.2989 | Max Thermal: 0.0000
Epoch  730 | Cost:   91.22 | Max P-Miss: 0.5679 | Max Q-Miss: 0.4103 | Max Gen Viol: 0.7572 | Max Thermal: 0.0000
