Bus,Case,Projection,Weights,Seed,Checkpoint,Objective_Deviation_pct,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq,Max_Violation,Feasibility_Rate,Inference_Time_s
14,pglib_opf_case14_ieee,none,nominal,1,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_041500.pth,-803.639763305664,0.026198858186602593,0.006393055786378682,8.09642530822754,0.2996955152153969,8.09642530822754,0.0,5.372937116771936e-05
14,pglib_opf_case14_ieee,none,nominal,2,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_043739.pth,-863.1837356567382,0.041506490059196946,0.00942979328148067,8.626458578109741,0.24110407635569572,8.626458578109741,0.0,2.1812133491039275e-07
14,pglib_opf_case14_ieee,none,nominal,3,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_050559.pth,-808.7459385375977,0.038180246740579606,0.008007443054579198,8.141611357688904,0.3018231091499329,8.141611357688904,0.0,2.386579290032387e-07
14,pglib_opf_case14_ieee,none,nominal,4,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_054042.pth,-866.4086469726562,0.03878655692189932,0.010237651304341852,8.657855010032653,0.23859114725887776,8.657855010032653,0.0,2.482491545379162e-07
14,pglib_opf_case14_ieee,none,nominal,5,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_061643.pth,-804.5732481689453,0.045269933700561524,0.006513700698968023,8.103712406158447,0.30221858668327334,8.103712406158447,0.0,1.5453482046723365e-07
14,pglib_opf_case14_ieee,voltage,nominal,1,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_065131.pth,-809.6559540405274,0.028403704911470415,0.004785406306851655,8.153240509986878,0.30174244701862335,8.153240509986878,0.0,4.742102092131972e-05
14,pglib_opf_case14_ieee,voltage,nominal,2,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_072726.pth,-871.9346383666992,0.032543927893042564,0.005472147820983082,8.712496726989746,0.2367651442885399,8.712496726989746,0.0,2.047847956418991e-07
14,pglib_opf_case14_ieee,voltage,nominal,3,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_080233.pth,-873.4440366210938,0.03531393002718687,0.005872210610657931,8.7274534406662,0.23688387851417064,8.7274534406662,0.0,1.9331974908709527e-07
14,pglib_opf_case14_ieee,voltage,nominal,4,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_083740.pth,-872.8458189086914,0.03415857294201851,0.00573898524325341,8.720314063072205,0.23783082042634487,8.720314063072205,0.0,2.0460784435272217e-07
14,pglib_opf_case14_ieee,voltage,nominal,5,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_091132.pth,-810.5657584838867,0.028038465209305287,0.005838462576735765,8.16376090335846,0.3015630511045456,8.16376090335846,0.0,3.2568583264946936e-07
14,pglib_opf_case14_ieee,generation,nominal,1,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_094546.pth,15.187884663105011,0.10100002491474151,0.03681417750194669,0.5997130461931228,0.046682536631822584,0.5997130461931228,0.0,3.108580689877272e-05
14,pglib_opf_case14_ieee,generation,nominal,2,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260924_080020.pth,15.790214080810546,0.08234727497398853,0.03616903118416667,0.6675108659267426,0.054345850232988595,0.6675108659267426,0.0,2.1979818120598792e-07
14,pglib_opf_case14_ieee,generation,nominal,3,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260924_080020.pth,16.40906816291809,0.08540835205465555,0.03443742934428155,0.7165624955892563,0.05934755275771022,0.7165624955892563,0.0,1.8993206322193145e-07
